"","Distance to Algeria","Distance to Argentina","Distance to Australia","Distance to Austria","Distance to Bangladesh","Distance to Barbados","Distance to Belgium","Distance to Benin","Distance to Bolivia","Distance to Brazil","Distance to Brunei Darussalam","Distance to Cameroon","Distance to Canada","Distance to Chile","Distance to China","Distance to Colombia","Distance to Congo, Dem. Rep.","Distance to Congo, Rep.","Distance to Costa Rica","Distance to Cote d'Ivoire","Distance to Cuba","Distance to Cyprus","Distance to Denmark","Distance to Dominican Republic","Distance to Ecuador","Distance to Egypt, Arab Rep.","Distance to El Salvador","Distance to Finland","Distance to France","Distance to Gabon","Distance to Germany","Distance to Ghana","Distance to Greece","Distance to Guatemala","Distance to Haiti","Distance to Honduras","Distance to Iceland","Distance to India","Distance to Indonesia","Distance to Iran, Islamic Rep.","Distance to Ireland","Distance to Italy","Distance to Jamaica","Distance to Japan","Distance to Jordan","Distance to Kenya","Distance to Korea, Rep.","Distance to Kuwait","Distance to Luxembourg","Distance to Malaysia","Distance to Malta","Distance to Mexico","Distance to Morocco","Distance to Nepal","Distance to Netherlands","Distance to New Zealand","Distance to Nicaragua","Distance to Nigeria","Distance to Norway","Distance to Oman","Distance to Pakistan","Distance to Panama","Distance to Paraguay","Distance to Peru","Distance to Philippines","Distance to Portugal","Distance to Qatar","Distance to Saudi Arabia","Distance to Senegal","Distance to Singapore","Distance to South Africa","Distance to Spain","Distance to Sri Lanka","Distance to Sudan","Distance to Sweden","Distance to Switzerland","Distance to Thailand","Distance to Togo","Distance to Trinidad and Tobago","Distance to Tunisia","Distance to Turkey","Distance to United Arab Emirates","Distance to United Kingdom","Distance to United States","Distance to Uruguay","Distance to Venezuela, RB","Distance to Zambia","Distance to Zimbabwe"
"Algeria",0,7603.65640018276,12121.1032326195,1108.48523406664,7431.6413345467,5489.01038823261,1382.54200623044,732.936453712823,7207.50140343408,4604.61721295668,11040.5158160621,1101.12517206497,4308.82822335897,8222.55745933248,5578.43537563507,6623.81014467083,2157.08507665456,2079.88195809948,7940.65610509608,1226.47698730661,6623.8821803771,2141.27882539853,1975.30367568316,6128.05381064029,7718.18347483359,1327.08434183228,8232.77758467891,2695.24977271411,496.581094463528,1991.09020971316,1156.29846825831,944.023514680102,1015.59512261312,8178.86840046236,6415.73306791167,7733.53523585156,3272.58934487526,5691.74253387128,9069.70879285955,3098.38689499134,1844.97667028363,219.823983086832,6924.22353989676,9709.78232308158,2377.2381122745,3186.08460755606,9559.21317057448,3493.51872029033,1373.68952163705,9498.03102969043,507.41046580814,7786.97586838054,0,6577.68630106978,1518.81684479731,16057.4140007745,7733.53523585156,596.714510808664,2326.95148782559,4169.67679352941,4863.71724596987,7474.27944479373,7458.22053976843,7361.05989487905,10543.7766942064,520.39551484029,3924.38758574264,2323.76667617339,1311.43705075623,10129.4968678576,5128.43732758639,161.703059732717,7340.5509119878,1301.71327116138,2077.64802254171,976.060303290917,8670.37849472465,922.167022335038,5714.572795486,0,1529.333112831,4019.60679230345,1566.84546755471,5379.66725595906,8121.25031786207,5767.85697621224,3901.64910133975,4637.40234449865
"Argentina",7603.65640018276,0,7105.1983810451,10260.1707051539,15704.9286016438,3894.98307850666,10122.1723813636,6956.71164828787,0,0,14347.1610603531,7507.91243310849,7223.90159675351,0,14938.8358313777,1985.16899760586,7328.91803698521,7312.39341084465,3772.07069110999,6002.59287285376,4713.80850697169,11277.4795759415,10721.6359324246,4399.48943272935,2319.09066554602,10008.8335495778,4538.43586553151,11579.7379347599,9308.51091083409,7234.63223500369,10174.2930696798,6451.06231496004,10474.687121363,4717.22482191823,4448.49878931001,4470.22789761056,10133.4959075605,13597.6814779902,12397.0360870278,12367.8163243095,9564.20727723586,9650.8911627701,4525.01418523181,15998.248748496,11262.0937392366,9724.01893605027,17325.3209621296,12304.8272980132,10202.6451226452,13966.4202776543,9883.81548978994,4922.68732553295,6558.65415245686,15477.7133978646,10193.9861879907,6963.04451041857,4079.98776470855,7066.60019670825,10819.839424891,12443.4812107348,13600.8604953498,3455.28050335956,0,555.749113141455,14400.4906033312,8381.6796763026,12552.6071978618,11176.4931016991,5825.29199509295,13965.1420590502,6503.2761206314,8488.40324355297,13723.5797878458,9187.63445838771,10975.2504785763,9979.04168954439,14390.293808508,6889.05822765295,3611.87073949176,9160.33710211729,10940.228849794,12601.7881803681,9640.74681736484,5389.52552139314,0,2489.03684619768,7823.17201909555,8065.34505174652
"Australia",12121.1032326195,7105.1983810451,0,12247.7308876607,5018.79757418825,14311.4495726285,12983.9368554545,12345.5353625407,10329.3200616146,9727.46341931078,2069.06406893823,10778.0492477347,10255.8257745635,7011.7087336674,3719.57882094119,12083.0194420721,8702.4859796589,10507.2378918562,12521.1622061055,12840.1015411308,13639.7644934443,10503.8735364973,12302.9804272806,14095.1984145899,11168.4487608096,9671.04704140954,12590.2625455556,11328.847799305,12777.1525811691,10776.1815075524,12367.2541393283,12484.8032079789,11062.2240541972,12523.8196264272,13982.3171094165,12697.6331425066,13256.241269713,3844.71045830322,164.984603116831,7672.08895475123,13630.8730000093,11998.4895876822,13734.1698031749,3985.85403923231,9946.82271868353,8066.80386656029,4930.94379468362,8979.06192114943,12990.6081094689,1831.76818463816,12224.7223939915,11157.666553344,13580.2720818636,5765.33526175679,12850.7970406792,620.803544874058,12624.6862020472,11388.6839015235,11348.9559135295,7602.0316158899,6915.88962085408,12527.7073789401,10234.7859995402,10664.9103646488,1938.24869404217,14080.4629802465,8501.06597417497,7915.1362795616,14030.6698571256,2647.02364899024,6411.7428718673,13186.1041334391,4719.43058279591,9312.85074628258,11686.0392183942,12762.6969032853,3136.61302932677,12435.1919512804,13979.9887645278,12413.7024794982,9758.70058732718,8061.07893785468,13024.7365104575,7195.22842824425,9516.12822014847,12758.7357396952,8337.13690195574,8053.59195933512
"Austria",1108.48523406664,10260.1707051539,12247.7308876607,0,6497.6167673445,7359.07044737183,354.801038104056,3882.61785996248,9672.10815894029,7279.52546929135,10146.0666637544,3694.3715312451,4432.8268751976,10617.2438652946,4535.6649771007,8317.76202205049,4598.40753034739,4741.35015547167,9358.548276396,4286.85041997767,7907.54250113206,1871.616673997,668.044307915767,7601.34628780761,9626.02344409056,1844.2953365242,9421.13424250042,1269.41133321776,143.823714296497,4891.26844440274,0,4076.2234730661,762.382095702891,9199.3219264736,7774.41455908702,8988.31413410918,2378.90807011023,4861.81964855757,8637.29268072381,2351.60445130046,1250.81776047625,0,8237.33222230066,8248.55615508107,2272.53633526169,4926.77122300942,8176.14777378981,3233.9891673438,318.11745119398,8923.99525729747,1146.82398885946,8739.80967866621,1652.92909683409,5674.83979243778,441.576157889862,15463.0981047383,8992.67434738273,3625.94474383384,1108.10025887669,4154.02394905141,4214.76530376005,9072.94294358647,10027.7995272655,9444.16193151684,9333.13056812539,1396.69154373095,3817.15533148734,2455.37968755331,4031.07549555253,9635.86425976913,7738.99342665298,719.745751614419,7188.82450928866,2856.58774518181,713.829966625801,0,7732.69626852047,4069.31418945519,7622.74713116465,1052.1975460186,977.137367938783,3995.11921883591,716.340722071585,5590.93123228228,10810.5009518578,7737.23963380365,6242.78388763549,7037.9807814374
"Bangladesh",7431.6413345467,15704.9286016438,5018.79757418825,6497.6167673445,0,14405.0368496569,7232.4919732255,8910.3717382363,16389.0337659615,13608.4942208017,2956.59989816541,7754.004641093,7774.6990606185,15757.1156071521,94.9424617456731,15175.4895286089,6544.46748419254,7773.9120985324,15769.5188505356,9637.69536429538,14384.2693724309,5167.52465945267,6575.83559809721,14383.8939747264,16597.8883537245,5198.57883069287,15461.7993641968,5744.39860875243,7139.60786699122,8315.19722414182,6615.48162774797,9294.43283070092,5725.90164700213,15086.4287463589,14457.4363089774,15197.7564514283,7878.55393369579,0,1676.69581178355,2469.9503460158,7944.34428119347,6510.50549778073,14784.9825294484,3152.6384581285,4761.57698415841,5439.66945712586,3391.47105134434,3918.35282832466,7237.65289406658,1775.65118870902,6945.6647274329,12911.1479981591,8395.28675517614,25.0460432809368,7113.66263416515,10459.3347625175,15317.0722575008,7792.06463946671,6016.63176548716,2883.47465875847,1411.27630316862,15782.4889248994,16213.4212672092,16512.4335407789,2911.54915387471,8459.37547766737,3648.50035214454,3317.4040963091,10306.3016485071,2473.89090683422,7955.72365761978,7689.65618973595,1632.08753208092,5152.47151949429,6171.00202949377,7014.72924708993,578.539485958304,9210.03687695345,14675.7206612128,7215.23341841653,4248.18345951123,3175.4394106939,7419.70673063566,7179.0695050802,16122.2350447333,14782.7811624608,7024.89637111865,7462.31006334825
"Barbados",5489.01038823261,3894.98307850666,14311.4495726285,7359.07044737183,14405.0368496569,0,6927.1037230456,6549.81318911379,2600.96463456952,866.785047198968,17891.9126610665,7514.19852474341,3390.44656150607,3554.64771587708,12346.0412127262,1153.84779299402,8190.01479189861,8020.37873565346,2531.7776615683,5594.66706893101,1722.0828158023,9338.11098183424,7399.16153838679,1097.73396823491,2263.87455088938,8727.92920408968,3036.87929756059,8128.9840469545,6334.37647607178,7665.89226633526,7152.66141453046,6150.10180149368,8158.99008020596,3090.12088152583,1400.633537513,2544.02429430055,6294.16267165513,12789.5401280451,16518.6226474736,10216.5310935834,6112.53828043482,7108.65327122366,1847.14582672129,13140.907063976,9693.60732792315,10279.9055907366,14195.3949636232,10809.6739366188,7120.34299057201,16853.0692552661,7696.42208406168,2992.48847450964,4588.17201430843,13603.4147111754,6991.3367182009,12569.9626900792,2544.02429430055,6795.20770721249,7239.74792528912,11711.4906307179,12047.857012046,2000.31124566723,3578.22515943909,2092.84237717241,16222.3677041479,5650.01130216111,11342.8405755456,9722.32042024016,4523.78554204619,17559.4153350507,9369.59266091392,5791.34055570288,14866.1087571106,8769.80657237584,7639.44282335233,7073.77866596934,15609.6816320391,6450.45828612303,254.054011752052,7086.3107466392,8667.49801537282,11465.0140814801,6341.25924694706,2537.58223610192,4783.91899732378,359.520775755334,9434.84039379013,9906.92137746507
"Belgium",1382.54200623044,10122.1723813636,12983.9368554545,354.801038104056,7232.4919732255,6927.1037230456,0,4124.40177190758,9344.92696528607,7186.45643715733,10854.8055403076,4113.60053574517,3846.7436775382,10302.5359144027,5244.74896108069,7818.56180456991,5089.1400595376,5200.2361983787,8805.23964232322,4436.03569881966,7357.04853130675,2687.42494781396,452.927582470008,7085.60222080024,9167.49704782089,2558.81038952833,8841.12871965008,1317.81836558023,0,5261.20850402626,0,4285.21500117,1528.77720866842,8602.35466352098,7237.10931621201,8420.03184588191,1785.55815959408,5613.23215929652,9427.11510633202,3173.86773658636,621.036438833993,394.14692454466,7686.58600616097,8463.88924689099,3091.92662223276,5611.9562855187,8572.30713803334,4067.4830553395,0,9696.33844028181,1644.61073497383,8139.65293148804,1712.26983628795,6426.87279438943,0,15235.6759753891,8426.12349578303,3952.18409115724,740.616357494272,4986.78831847535,5032.12822991605,8555.82600637797,9818.21154177504,9033.468258352,9898.64655759859,1214.38739498963,4650.52738726101,3275.24288361817,4058.1284585776,10409.1812770688,8276.3281634229,806.68554512608,8009.8674938908,3491.6190301198,668.834427553439,246.219590975654,8455.6345856526,4288.24209967445,7196.72720708946,1390.97152525174,1804.97702369432,4827.53428480963,79.4617223347607,4957.62761911311,10694.5923364693,7305.36815805265,6810.32622465906,7593.04486596967
"Benin",732.936453712823,6956.71164828787,12345.5353625407,3882.61785996248,8910.3717382363,6549.81318911379,4124.40177190758,0,7029.44032107458,4297.82625892187,12123.5710243224,672.210945657673,6405.47045296594,8127.47899740549,7478.06633211474,7518.08071753577,1665.28366098295,1263.79645064751,9103.77716114577,392.33121230086,8049.23199077018,3872.85162748861,4740.09960891689,7456.80103047488,8492.99536043812,2543.66845901707,9577.66919497693,5475.70757218794,3273.3537259523,965.7981347167,3927.72225321182,43.1879002734717,3283.41932221761,9594.86827187326,7799.2689462178,9071.32890964554,5906.64969387557,6923.38940064666,10049.2593841052,4899.20691096727,4472.32396351227,2850.65170655856,8292.71172007457,12336.7797219244,3789.38636514423,3399.21779595324,11926.9373389814,4843.1695563142,4120.20517893331,10519.280134892,2845.84353515343,9333.80494624695,2019.63910616043,8084.66042100556,4263.94612720236,14734.2587618536,9071.32890964554,0,5076.8993998078,5241.72949884215,6223.65822634071,8549.90095891911,6922.39864527596,7978.91342850746,12344.6402985476,2927.2976733513,5170.61947378809,3703.00481704212,1341.22316231481,11064.5315095908,3921.61362234666,2744.55277110093,8306.51417612087,1975.48087922877,4853.40029433512,3735.69347246252,10000.117329495,0,6711.68198320019,2093.01007064203,3647.3783402182,5239.07724064687,4237.91071487198,7413.3404168536,7211.4462771728,6650.84320055878,3021.88195995852,3645.02740415858
"Bolivia",7207.50140343408,0,10329.3200616146,9672.10815894029,16389.0337659615,2600.96463456952,9344.92696528607,7029.44032107458,0,0,17902.1738796288,7667.2794210856,5894.08974224528,0,14722.2246635555,728.403059464188,7675.55574726233,7622.67751503524,2568.22043009057,6020.22135006104,3420.99971774142,11091.7287981122,9878.26939994823,3090.11216303562,1211.86956863373,10018.390582804,3351.54569100791,10656.0230008286,8692.07795742527,7484.87294295352,9535.76259743962,6500.03237186375,10158.6647955576,3547.78552586438,3140.74005945854,3236.66019106667,8914.89526964584,14381.787140639,15287.6255822338,12195.0097237901,8602.39746342305,9220.60279501651,3253.19426849085,15027.8853111417,11196.9350368303,10130.5140000653,16424.3088062296,12300.260506653,9501.36394463357,17071.7660003774,9566.29177267008,3768.38320612219,6144.57362243825,15555.7635777023,9413.42992364457,9615.75117405061,2867.8664970071,7145.98656695226,9847.92887174956,12644.2129130355,13689.9563890409,2211.8882427482,0,0,17636.7961364541,7790.71646265811,12646.6538850331,11134.2259183911,5570.55219175497,17135.7613578766,7489.21084986377,7915.57547147811,15240.0207982545,9356.61129119155,10151.9652032461,9379.00954607238,17125.0954933719,6947.5601115712,2292.84201088707,8899.84227240235,10661.1803439933,12710.8292557055,8781.12198625733,4136.72370142898,1014.7817283919,1149.96620729414,8383.99431771538,8654.09428073489
"Brazil",4604.61721295668,0,9727.46341931078,7279.52546929135,13608.4942208017,866.785047198968,7186.45643715733,4297.82625892187,0,0,16489.0960328781,4986.54780209347,4269.42008691094,711.329917878623,12013.0541597268,0,5201.0538322841,5100.77027046609,1606.75450687064,3246.33359351372,2027.26794728902,8348.20473624264,7743.74228959852,1599.24142277435,485.657369798928,7231.65165525057,2357.84577587741,8546.70115035832,6344.6324581848,4884.83875166257,7202.49962759282,3759.92746085533,7489.18622937996,2544.13744899715,1701.76431850933,2072.98223039802,7001.53381800807,11627.2711971228,14503.700379116,9461.41977535538,6484.96619111039,6651.09679970251,1922.6175620974,13830.363457085,8417.11940968125,7653.6184774089,15062.2911800031,9514.90038660713,7249.72003553155,15003.661355533,6895.33392921194,2687.34601245802,3565.98308071754,12770.3434325176,7256.18562501683,9591.35833010548,1830.08601250356,4417.66929343424,7746.39923675415,9924.28592466356,10904.249482948,1063.92181082654,0,0,16753.5218977487,5421.28593203142,9874.30181405631,8350.8558594627,2839.7435681042,15375.0792774934,5753.76328316659,5511.23337026923,12819.2275823845,6628.91895356914,8016.14577999385,7004.16733250506,14696.7267476407,4203.42613588989,598.461257482209,6188.51765627192,7966.42755810234,9943.47468802774,6636.49522339104,2814.5761699809,0,0,6231.58769937233,6583.0912548731
