"Year","Algeria GDP/capita USD","Argentina GDP/capita USD","Australia GDP/capita USD","Austria GDP/capita USD","Bangladesh GDP/capita USD","Barbados GDP/capita USD","Belgium GDP/capita USD","Benin GDP/capita USD","Bolivia GDP/capita USD","Brazil GDP/capita USD","Brunei Darussalam GDP/capita USD","Cameroon GDP/capita USD","Canada GDP/capita USD","Chile GDP/capita USD","China GDP/capita USD","Colombia GDP/capita USD","Congo, Dem. Rep. GDP/capita USD","Congo, Rep. GDP/capita USD","Costa Rica GDP/capita USD","Cote d'Ivoire GDP/capita USD","Cuba GDP/capita USD","Cyprus GDP/capita USD","Denmark GDP/capita USD","Dominican Republic GDP/capita USD","Ecuador GDP/capita USD","Egypt, Arab Rep. GDP/capita USD","El Salvador GDP/capita USD","Finland GDP/capita USD","France GDP/capita USD","Gabon GDP/capita USD","Germany GDP/capita USD","Ghana GDP/capita USD","Greece GDP/capita USD","Guatemala GDP/capita USD","Haiti GDP/capita USD","Honduras GDP/capita USD","Iceland GDP/capita USD","India GDP/capita USD","Indonesia GDP/capita USD","Iran, Islamic Rep. GDP/capita USD","Ireland GDP/capita USD","Italy GDP/capita USD","Jamaica GDP/capita USD","Japan GDP/capita USD","Jordan GDP/capita USD","Kenya GDP/capita USD","Korea, Rep. GDP/capita USD","Kuwait GDP/capita USD","Luxembourg GDP/capita USD","Malaysia GDP/capita USD","Malta GDP/capita USD","Mexico GDP/capita USD","Morocco GDP/capita USD","Nepal GDP/capita USD","Netherlands GDP/capita USD","New Zealand GDP/capita USD","Nicaragua GDP/capita USD","Nigeria GDP/capita USD","Norway GDP/capita USD","Oman GDP/capita USD","Pakistan GDP/capita USD","Panama GDP/capita USD","Paraguay GDP/capita USD","Peru GDP/capita USD","Philippines GDP/capita USD","Portugal GDP/capita USD","Qatar GDP/capita USD","Saudi Arabia GDP/capita USD","Senegal GDP/capita USD","Singapore GDP/capita USD","South Africa GDP/capita USD","Spain GDP/capita USD","Sri Lanka GDP/capita USD","Sudan GDP/capita USD","Sweden GDP/capita USD","Switzerland GDP/capita USD","Thailand GDP/capita USD","Togo GDP/capita USD","Trinidad and Tobago GDP/capita USD","Tunisia GDP/capita USD","Turkey GDP/capita USD","United Arab Emirates GDP/capita USD","United Kingdom GDP/capita USD","United States GDP/capita USD","Uruguay GDP/capita USD","Venezuela, RB GDP/capita USD","Zambia GDP/capita USD","Zimbabwe GDP/capita USD","Algeria Oil Rent share of GDP","Argentina Oil Rent share of GDP","Australia Oil Rent share of GDP","Austria Oil Rent share of GDP","Bangladesh Oil Rent share of GDP","Barbados Oil Rent share of GDP","Belgium Oil Rent share of GDP","Benin Oil Rent share of GDP","Bolivia Oil Rent share of GDP","Brazil Oil Rent share of GDP","Brunei Darussalam Oil Rent share of GDP","Cameroon Oil Rent share of GDP","Canada Oil Rent share of GDP","Chile Oil Rent share of GDP","China Oil Rent share of GDP","Colombia Oil Rent share of GDP","Congo, Dem. Rep. Oil Rent share of GDP","Congo, Rep. Oil Rent share of GDP","Costa Rica Oil Rent share of GDP","Cote d'Ivoire Oil Rent share of GDP","Cuba Oil Rent share of GDP","Cyprus Oil Rent share of GDP","Denmark Oil Rent share of GDP","Dominican Republic Oil Rent share of GDP","Ecuador Oil Rent share of GDP","Egypt, Arab Rep. Oil Rent share of GDP","El Salvador Oil Rent share of GDP","Finland Oil Rent share of GDP","France Oil Rent share of GDP","Gabon Oil Rent share of GDP","Germany Oil Rent share of GDP","Ghana Oil Rent share of GDP","Greece Oil Rent share of GDP","Guatemala Oil Rent share of GDP","Haiti Oil Rent share of GDP","Honduras Oil Rent share of GDP","Iceland Oil Rent share of GDP","India Oil Rent share of GDP","Indonesia Oil Rent share of GDP","Iran, Islamic Rep. Oil Rent share of GDP","Ireland Oil Rent share of GDP","Italy Oil Rent share of GDP","Jamaica Oil Rent share of GDP","Japan Oil Rent share of GDP","Jordan Oil Rent share of GDP","Kenya Oil Rent share of GDP","Korea, Rep. Oil Rent share of GDP","Kuwait Oil Rent share of GDP","Luxembourg Oil Rent share of GDP","Malaysia Oil Rent share of GDP","Malta Oil Rent share of GDP","Mexico Oil Rent share of GDP","Morocco Oil Rent share of GDP","Nepal Oil Rent share of GDP","Netherlands Oil Rent share of GDP","New Zealand Oil Rent share of GDP","Nicaragua Oil Rent share of GDP","Nigeria Oil Rent share of GDP","Norway Oil Rent share of GDP","Oman Oil Rent share of GDP","Pakistan Oil Rent share of GDP","Panama Oil Rent share of GDP","Paraguay Oil Rent share of GDP","Peru Oil Rent share of GDP","Philippines Oil Rent share of GDP","Portugal Oil Rent share of GDP","Qatar Oil Rent share of GDP","Saudi Arabia Oil Rent share of GDP","Senegal Oil Rent share of GDP","Singapore Oil Rent share of GDP","South Africa Oil Rent share of GDP","Spain Oil Rent share of GDP","Sri Lanka Oil Rent share of GDP","Sudan Oil Rent share of GDP","Sweden Oil Rent share of GDP","Switzerland Oil Rent share of GDP","Thailand Oil Rent share of GDP","Togo Oil Rent share of GDP","Trinidad and Tobago Oil Rent share of GDP","Tunisia Oil Rent share of GDP","Turkey Oil Rent share of GDP","United Arab Emirates Oil Rent share of GDP","United Kingdom Oil Rent share of GDP","United States Oil Rent share of GDP","Uruguay Oil Rent share of GDP","Venezuela, RB Oil Rent share of GDP","Zambia Oil Rent share of GDP","Zimbabwe Oil Rent share of GDP","Nominal_Oil_Price_USD","Inflation_Adjusted_Oil_Price_USD"
1960,NA,NA,1807.78571021206,935.460426850415,89.0352412832723,NA,1273.69165910289,93.0225089907107,102.237890155986,210.109899384623,NA,119.519178787728,2259.29428549881,505.349201216281,89.5205415103584,251.041522886697,220.314062094535,129.370463498733,381.36511464301,155.899899779449,NA,NA,NA,204.11474750958,455.461586837328,NA,NA,1179.35301099994,1334.69005583825,282.413795136241,NA,183.449562150492,520.322744310383,252.756171165062,70.6611393892491,164.644722539428,1414.98226940621,82.1886020091056,NA,191.680781242215,685.61471237976,804.492623346178,429.255200419043,478.995340162869,NA,97.445525021684,158.249303269821,NA,2242.0158166161,234.938753415302,NA,345.230559078387,164.800779039246,50.3049875027919,1068.78458723735,2312.94999239859,126.248381627432,92.9604697208495,1441.75566002633,NA,83.337945930404,474.094017901195,NA,253.264821576031,254.45894522833,360.499298506858,NA,NA,312.993743681806,428.058980027396,443.009816049236,396.392253337614,142.779621883716,125.85985110863,2114.00297269192,1787.36034770201,100.76747866621,76.6384541690086,631.702114968573,NA,509.423852150563,NA,1397.5948032844,3007.12344537862,489.351688758496,955.446183374363,232.188866918329,278.813699118353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.91,25.41
1961,NA,NA,1874.73210577126,1031.8150043291,97.5952739108149,NA,1350.19767333123,95.5721547147448,109.061011508637,205.04076826426,NA,124.426729896829,2240.43303945853,555.133934614754,75.8058379259965,274.052264169385,197.391371783205,145.406396949718,355.003776917523,170.242769201326,NA,NA,NA,192.027725260401,375.2216257143,NA,NA,1327.427224366,1428.04548673446,331.431867958805,NA,190.218771854768,590.780054812393,253.227290034998,68.7645486592402,169.909593023117,1418.12586971526,85.3543011749033,NA,196.925081789233,739.276406442666,887.336744604475,453.056187959716,563.586759838827,NA,94.6512587875024,93.8286490466039,NA,2222.36636636277,225.933513017345,NA,363.393205614651,158.923667416326,51.8112285436763,1159.39235716074,2343.29221317425,131.450221517895,96.9790447168249,1560.3249311723,NA,89.4090301435254,513.254757679848,NA,277.56871029727,267.18288754574,382.729946994368,NA,NA,321.36143463126,449.151071278746,454.962013195471,450.053289246968,142.83817062385,133.082208643336,2288.92170111915,1971.31632279228,107.497997163238,79.1201330726748,676.398049828513,NA,283.828274183166,NA,1472.38571407868,3066.56286916615,601.703236688895,970.356398396839,220.042136669643,280.828950528984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.85,24.6
1962,172.245997766356,1155.89017025099,1851.84185074588,1087.8342434189,100.12211579079,NA,1438.5232330684,94.4645349843821,116.925152681732,260.425653075282,NA,129.544139225573,2268.58534607907,638.945209228415,70.9094116671007,289.917945751026,235.633480344752,155.738235886969,334.311814299174,171.128185807371,NA,NA,NA,234.051629386729,315.688244519312,NA,NA,1411.70239818044,1578.28460367258,357.522363173554,NA,195.492259522758,617.057757690519,261.179133806117,70.1380109788755,179.876389779959,1562.23073045837,89.8817566863598,NA,203.437316704253,797.006288353959,990.26015216342,463.890236719862,633.640315173776,NA,100.394390618223,106.148505720006,NA,2311.79884893619,230.260461298934,NA,378.153485981788,181.182737425783,55.0256994601707,1240.67789437294,2448.62863326468,140.557420118239,104.387019664691,1667.2474297782,NA,91.3192003573489,542.327283735111,NA,305.761531584626,156.703873111588,407.852843612372,NA,NA,320.50125501419,472.085824452565,473.01161540659,520.206131380005,138.536667362574,140.72511070274,2468.69458903006,2131.39165159983,113.782877186935,81.9947491285797,704.21915437195,NA,309.446667238777,NA,1525.77585271032,3243.84307754988,656.713479039317,1023.35558792929,212.578123117433,276.688780776198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.85,24.31
1963,226.899988804342,850.30473690206,1964.1504696359,1167.00053244585,101.901414464052,NA,1535.02372901043,99.8591138855553,123.429309527166,292.252136324528,NA,131.136413030298,2374.49844764883,655.25247598749,74.3136434486145,274.314957549389,377.42983268411,157.055866084783,344.355120073064,194.212628968711,NA,NA,NA,258.595852955478,368.629956130748,NA,NA,1522.3192420995,1744.64058973424,298.466409534426,NA,211.064799079178,695.228624389878,280.096636444858,71.9621841715769,185.049514955538,1831.70565581972,101.126428181221,NA,208.132361496648,852.135301717888,1126.01933699825,485.246371581196,717.866915230894,NA,103.778709414476,146.314341932979,NA,2441.03855530008,279.717634033771,NA,409.045609526074,196.531336015723,46.8614488384859,1328.03664879968,2622.2202714036,150.504122907552,107.540568107286,1775.58265544979,NA,95.7033619926917,583.413445433772,NA,325.51619203538,168.040977551675,432.511729575075,NA,NA,322.300733288525,511.205575252773,511.497252529621,609.487384056513,117.072043511685,139.309902858509,2657.02250478203,2294.18284731738,118.143938531877,87.7919751328937,760.401295416033,NA,350.662949564152,NA,1613.45688373392,3374.51517105082,584.291411788937,1077.4026936172,213.896440620375,277.479715109342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.91,24.53
1964,238.048532020905,1173.23821277123,2128.06835509202,1269.41258289256,100.221113507985,NA,1701.84627554319,104.339768039886,136.312430833969,261.66661956418,NA,138.646028097933,2555.11114601309,678.12787579294,85.4985551596313,328.655032086694,170.466994891707,165.009459125112,352.337113722278,226.227041791045,NA,NA,NA,272.974146237077,440.559715276871,NA,NA,1707.50393824701,1909.54123238543,410.900952138148,NA,230.088718367366,783.705880998279,279.930464500156,77.862485419389,200.434376820137,2297.9206432038,115.537497020064,NA,221.321237135572,965.135422676745,1222.5445404629,518.814171395077,835.657252484116,NA,108.293688398499,123.603494825331,NA,2755.63311653279,289.008759338139,NA,469.476114923357,201.262026430705,46.0033654877321,1541.94736519029,2813.54697563939,170.434586152145,113.168721218811,1937.88461385928,NA,104.880217633675,608.100484905561,NA,382.743662202326,175.955791801275,468.781081635443,NA,NA,332.081340858427,485.533858206574,548.995941617124,675.241639141208,120.714370232159,139.223302743664,2941.04889945204,2501.29318996377,125.938686013051,99.9378893887589,788.702763593334,NA,369.583431970045,NA,1748.2881176141,3573.94118474743,741.243607484594,864.47168241399,242.384332534144,281.558440116395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,24.95
1965,249.883486058815,1279.11343214531,2277.55839760436,1374.53213986075,106.64664823646,NA,1835.59476553194,110.132793835113,149.640073856538,261.354354519834,1113.82655495184,141.012174977559,2770.36180408145,670.394641776333,98.4867777522206,307.646860038546,232.811114397363,171.645695885761,372.278942006233,217.602389968993,NA,NA,NA,229.02367729865,455.198078758113,162.608482996222,274.175002569258,1882.08685764849,2038.16273394898,424.617258455559,NA,265.323345967193,899.281238912995,278.828138481721,82.9476473278901,216.814470495713,2723.52094989073,119.318917211719,NA,248.341072691126,1023.77372640936,1304.45381661965,553.449740530436,919.776688184802,511.101664304358,104.711563995748,108.722131222718,4443.40527162766,2780.09271886584,310.327925803759,NA,494.970373507499,206.448974622808,67.0074709698086,1708.09635648862,2151.29492695315,273.906438106491,117.188632489861,2164.46882336736,101.258693092966,116.44672466593,648.437068572737,204.20111236046,441.182488676123,187.136888470552,520.910659367884,NA,NA,328.56343685215,516.53530333901,584.704072154916,774.761609330096,152.852744237697,141.081952960678,3206.09917020339,2620.475547353,137.918629336406,109.620184806171,807.874268485485,217.911274365173,386.358085584709,NA,1873.56777435421,3827.52710972039,701.70497857227,869.535291680426,303.281910378355,293.308853574797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.01,24.63
1966,235.598111822427,1272.80297767396,2340.43868460617,1486.96860600566,112.665358839312,NA,1957.62608042762,112.940836383512,162.326054493388,315.797202907062,1237.5635792503,144.380001343019,3047.10614707958,772.726053851789,104.324566181147,281.566048500385,253.759251350065,185.891785260065,393.479009988359,233.614639022308,NA,NA,2487.13618090884,245.987545364814,449.920290321545,168.963224188623,282.189904406622,2010.21345619725,2186.47485240446,452.668660821235,NA,267.74842725408,997.430467475556,283.192724592174,84.9853892297224,227.741144929835,3215.69417804329,89.9973059630537,NA,264.979700116411,1074.50650554958,1402.44235441032,615.965727523504,1058.50356090902,519.373929197101,118.208018357271,133.474848530354,4571.18195455632,2900.43321843978,321.094127654184,NA,534.273737126381,196.314518470526,81.1644296313439,1835.80142351034,2191.31254193959,284.55828958675,124.30778281965,2317.19488382656,105.557673860105,125.546977601333,686.07193453889,208.849386320012,507.530784676561,199.956782333536,575.007680668221,NA,NA,329.053139717693,566.807677554886,621.220824504115,889.659872011529,153.898723733778,140.685895589836,3454.42978938679,2784.73354771646,161.005516685185,121.833557350245,787.339263238572,224.294846143586,444.549440786755,NA,1986.74715869685,4146.31664631665,664.438864996259,876.153926382849,343.373483458031,277.233872141657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,24.64
1967,253.923650753479,1062.54355190601,2576.2845085275,1569.66718289967,122.870630560939,NA,2086.63600544654,111.951601925238,179.583337089403,347.493056109702,1236.3976733859,154.331498862632,3217.15929360795,753.127634375656,96.5895319417819,293.644264112561,184.130389066533,194.661293336108,412.237535962029,238.310697446664,NA,NA,2700.74628964677,250.9766941897,459.278881380575,174.862587941817,288.187075391239,2034.18904965478,2343.10422573021,490.098852792328,NA,214.832148179068,1068.11455622703,287.968047136813,83.4121866909452,240.547133121382,3125.64949185014,96.3391366489315,53.5372982103029,287.082832545505,1152.00495214994,1533.69287748547,636.618040039526,1228.9092104006,458.126705548002,120.987697438325,161.159931018546,4230.84777838406,2909.66062936858,317.424084086877,NA,565.633408898776,202.857271678879,73.9678877627124,1991.36068565042,2188.39913862561,299.081616018531,99.4060749620914,2514.04377214705,162.324568548806,139.118459515819,742.11353649131,215.0668034347,500.873041431676,207.443970075251,646.82272006084,NA,NA,319.639679548659,626.033527685697,675.135312047611,968.306781765983,159.50599139416,147.997579788729,3720.92684527721,2960.72258588384,166.923088127192,124.87939556403,823.554528334271,229.028956100784,481.693709526268,NA,2058.78188198056,4336.42658722171,580.971315082477,892.879120094172,360.201618116246,292.270410623648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.12,24.14
1968,281.925745024389,1141.0804807929,2720.08260948799,1677.67352804272,122.847593497904,NA,2222.36151051913,116.89506602186,199.629799698863,374.786775401462,1364.05440765995,169.81245325529,3462.67887195794,756.912480510742,91.4727183066072,292.257496192437,206.714907377649,200.395177715144,442.778595303081,271.853287815928,NA,NA,2776.13539044344,254.051857561451,450.999787822339,180.410875649514,290.025602994465,1907.07727217667,2536.0850645089,520.477661319893,NA,200.307166178469,1154.43853055613,310.661745203358,81.59291748904,252.584519942969,2354.48002671305,99.8759646011063,65.0530450392047,318.991965654226,1124.51663608246,1651.93937679756,593.622773105016,1450.61965234374,374.084244499496,128.397444749075,198.431298008386,4207.81131641687,3175.36736882691,323.402486662985,NA,606.211120207949,212.750814102333,66.5488999419359,2185.24865888657,1885.15615175625,307.291756918733,97.2017517761935,2662.11749153117,277.908005221838,145.945688598704,775.643092587907,220.096641538652,450.401644289414,224.635581421285,719.08049185329,NA,777.266407003177,326.196121572044,708.606066462846,711.225810351338,950.545740593734,150.896707697957,150.022652341943,3926.40900146965,3121.8890308772,174.784798968177,124.349572232268,815.324480685865,250.693862685395,526.213490405955,NA,1951.75859587532,4695.92339043178,574.347296527256,937.597795130449,409.775349349798,299.398632835185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.18,23.55
1969,302.752306734104,1329.05865921566,2986.94950744786,1825.38612552124,135.147381311241,NA,2458.08182003773,116.025094341185,211.797112677127,403.884267342212,1304.29846027765,181.280767185084,3763.95337938417,870.319115188766,100.12990326618,307.995210195731,258.606503271145,205.533551237708,474.794775758949,277.97201439232,NA,NA,3151.13316134695,281.377797656778,527.900442550973,193.58598039818,293.387623370139,2178.03525044982,2752.0949541112,550.726052026662,NA,230.287308092925,1324.05898884761,322.437529369749,85.2957407248977,253.268912797776,2039.19629517262,107.622317828827,74.6020983902901,350.913606178484,1291.34992028637,1813.38812575706,644.05694202836,1669.09819990781,432.145279830125,133.665370419592,243.422412925948,4019.76307533505,3658.90068296888,347.372962504739,NA,650.311714146196,232.125972305859,66.638362678968,2642.95611830093,2077.89554302301,320.429327244699,121.245364104108,2875.23584396858,342.473055255137,153.416980204744,827.173326307619,230.502433414844,490.41337896726,241.710917533292,795.759371391099,NA,801.045454430012,301.267311594755,812.682796852012,780.625918664446,1077.67869994591,160.913082166436,160.384112095056,4234.16134821018,3344.78360254639,186.879151880585,131.569868489524,831.425138659775,260.408480233691,571.617786983695,NA,2100.66786858672,5032.14474262003,717.13966511808,930.925706786381,485.87261804127,341.984650982708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.32,23.36
