"State","Date","VMT"
"AL",2016-02-08,177.6896552
"AL",2016-02-09,177.6896552
"AL",2016-02-10,177.6896552
"AL",2016-02-11,177.6896552
"AL",2016-02-12,177.6896552
"AL",2016-02-13,177.6896552
"AL",2016-02-14,177.6896552
"AL",2016-02-15,177.6896552
"AL",2016-02-16,177.6896552
"AL",2016-02-17,177.6896552
"AL",2016-02-18,177.6896552
"AL",2016-02-19,177.6896552
"AL",2016-02-20,177.6896552
"AL",2016-02-21,177.6896552
"AL",2016-02-22,177.6896552
"AL",2016-02-23,177.6896552
"AL",2016-02-24,177.6896552
"AL",2016-02-25,177.6896552
"AL",2016-02-26,177.6896552
"AL",2016-02-27,177.6896552
"AL",2016-02-28,177.6896552
"AL",2016-02-29,177.6896552
"AL",2016-03-01,193.7741935
"AL",2016-03-02,193.7741935
"AL",2016-03-03,193.7741935
"AL",2016-03-04,193.7741935
"AL",2016-03-05,193.7741935
"AL",2016-03-06,193.7741935
"AL",2016-03-07,193.7741935
"AL",2016-03-08,193.7741935
"AL",2016-03-09,193.7741935
"AL",2016-03-10,193.7741935
"AL",2016-03-11,193.7741935
"AL",2016-03-12,193.7741935
"AL",2016-03-13,193.7741935
"AL",2016-03-14,193.7741935
"AL",2016-03-15,193.7741935
"AL",2016-03-16,193.7741935
"AL",2016-03-17,193.7741935
"AL",2016-03-18,193.7741935
"AL",2016-03-19,193.7741935
"AL",2016-03-20,193.7741935
"AL",2016-03-21,193.7741935
"AL",2016-03-22,193.7741935
"AL",2016-03-23,193.7741935
"AL",2016-03-24,193.7741935
"AL",2016-03-25,193.7741935
"AL",2016-03-26,193.7741935
"AL",2016-03-27,193.7741935
"AL",2016-03-28,193.7741935
"AL",2016-03-29,193.7741935
"AL",2016-03-30,193.7741935
"AL",2016-03-31,193.7741935
"AL",2016-04-01,204.8
"AL",2016-04-02,204.8
"AL",2016-04-03,204.8
"AL",2016-04-04,204.8
"AL",2016-04-05,204.8
"AL",2016-04-06,204.8
"AL",2016-04-07,204.8
"AL",2016-04-08,204.8
"AL",2016-04-09,204.8
"AL",2016-04-10,204.8
"AL",2016-04-11,204.8
"AL",2016-04-12,204.8
"AL",2016-04-13,204.8
"AL",2016-04-14,204.8
"AL",2016-04-15,204.8
"AL",2016-04-16,204.8
"AL",2016-04-17,204.8
"AL",2016-04-18,204.8
"AL",2016-04-19,204.8
"AL",2016-04-20,204.8
"AL",2016-04-21,204.8
"AL",2016-04-22,204.8
"AL",2016-04-23,204.8
"AL",2016-04-24,204.8
"AL",2016-04-25,204.8
"AL",2016-04-26,204.8
"AL",2016-04-27,204.8
"AL",2016-04-28,204.8
"AL",2016-04-29,204.8
"AL",2016-04-30,204.8
"AL",2016-05-01,202.0322581
"AL",2016-05-02,202.0322581
"AL",2016-05-03,202.0322581
"AL",2016-05-04,202.0322581
"AL",2016-05-05,202.0322581
"AL",2016-05-06,202.0322581
"AL",2016-05-07,202.0322581
"AL",2016-05-08,202.0322581
"AL",2016-05-09,202.0322581
"AL",2016-05-10,202.0322581
"AL",2016-05-11,202.0322581
"AL",2016-05-12,202.0322581
"AL",2016-05-13,202.0322581
"AL",2016-05-14,202.0322581
"AL",2016-05-15,202.0322581
"AL",2016-05-16,202.0322581
"AL",2016-05-17,202.0322581
"AL",2016-05-18,202.0322581
