"Year","State","Type_of_beverage","Gallons_of_beverage","Gallons_of_ethanol","Population","Gallons_of_ethanol_per_capita_age_14_and_older","Decile_for_per_capita_consumption_age_14_and_older","Population_.age_21_and_older.","Gallons_of_ethanol_per_capita_age_21_and_older","Decile_for_per_capita_consumption_age_21_and_older","Type_of_data_source","Time.varying_alcohol_by_volume_.ABV.","Gallons_of_ethanol_derived_from_time.varying_ABV"
2015,"AL",1,6241706,2565341,4009425,6398,9,3560076,7206,9,6,377,2353123
2015,"AL",2,7975742,1028871,4009425,2566,8,3560076,2890,8,7,123,981016
2015,"AL",3,99324000,4469580,4009425,11148,6,3560076,12555,6,7,48,4767552
2015,"AL",4,0,8063792,4009425,20112,9,3560076,22651,9,0,0,8101691
2015,"AZ",1,10514158,4321319,5573672,7753,6,4926283,8772,6,7,385,4047951
2015,"AZ",2,17294518,2230993,5573672,4003,5,4926283,4529,5,7,122,2109931
2015,"AZ",3,143964000,6478380,5573672,11623,5,4926283,13151,5,7,47,6766308
2015,"AZ",4,0,13030692,5573672,23379,6,4926283,26451,6,0,0,12924190
2015,"AR",1,3832775,1575270,2431747,6478,9,2153416,7315,9,2,383,1467953
2015,"AR",2,4063739,524222,2431747,2156,9,2153416,2434,9,2,123,499840
2015,"AR",3,52175538,2347899,2431747,9655,9,2153416,10903,9,2,48,2504426
2015,"AR",4,0,4447392,2431747,18289,10,2153416,20653,10,0,0,4472219
2015,"CA",1,58433032,24015976,31895437,7530,8,28252111,8501,7,3,385,22496717
2015,"CA",2,131467968,16959368,31895437,5317,3,28252111,6003,3,3,122,16039092
2015,"CA",3,705526842,31748708,31895437,9954,8,28252111,11238,8,3,48,33865288
2015,"CA",4,0,72724052,31895437,22801,6,28252111,25741,6,0,0,72401097
2015,"CO",1,12440331,5112976,4472741,11431,2,3982207,12840,2,1,380,4727326
2015,"CO",2,17620913,2273098,4472741,5082,4,3982207,5708,4,1,122,2149751
2015,"CO",3,111460686,5015731,4472741,11214,6,3982207,12595,6,1,47,5238652
2015,"CO",4,0,12401805,4472741,27728,3,3982207,31143,3,0,0,12115729
2015,"CT",1,6997711,2876059,3016716,9534,4,2667090,10784,4,1,377,2638137
2015,"CT",2,14257374,1839201,3016716,6097,2,2667090,6896,2,1,122,1739400
2015,"CT",3,56661464,2549766,3016716,8452,10,2667090,9560,10,1,48,2719750
2015,"CT",4,0,7265026,3016716,24083,5,2667090,27240,5,0,0,7097287
2015,"DE",1,3337023,1371516,784126,17491,1,700792,19571,1,1,379,1264732
2015,"DE",2,4397920,567332,784126,7235,1,700792,8096,1,1,123,540944
2015,"DE",3,20653471,929406,784126,11853,4,700792,13262,4,1,48,991367
2015,"DE",4,0,2868254,784126,36579,1,700792,40929,1,0,0,2797043
2015,"DC",1,2338268,961028,577191,16650,1,523961,18342,1,7,390,911925
2015,"DC",2,4545705,586396,577191,10159,1,523961,11192,1,7,122,554576
2015,"DC",3,14601000,657045,577191,11383,5,523961,12540,6,7,48,700848
2015,"DC",4,0,2204469,577191,38193,1,523961,42073,1,0,0,2167349
2015,"FL",1,40882073,16802532,17077104,9839,3,15418503,10898,3,1,384,15698716
2015,"FL",2,67852860,8753019,17077104,5126,4,15418503,5677,4,1,122,8278049
2015,"FL",3,421229917,18955346,17077104,11100,6,15418503,12294,6,1,48,20219036
2015,"FL",4,0,44510897,17077104,26065,4,15418503,28868,4,0,0,44195801
2015,"GA",1,13778956,5663151,8256163,6859,9,7265738,7794,9,7,388,5346235
2015,"GA",2,15919912,2053669,8256163,2487,9,7265738,2827,8,7,122,1942229
2015,"GA",3,185380000,8342100,8256163,10104,7,7265738,11481,7,7,47,8712860
2015,"GA",4,0,16058920,8256163,19451,9,7265738,22102,9,0,0,16001324
2015,"ID",1,2524282,1037480,1315799,7885,6,1152457,9002,6,6,373,941557
2015,"ID",2,11666588,1504990,1315799,11438,1,1152457,13059,1,2,123,1434990
2015,"ID",3,27352594,1230867,1315799,9355,9,1152457,10680,9,2,47,1285572
2015,"ID",4,0,3773336,1315799,28677,2,1152457,32742,2,0,0,3662119
2015,"IL",1,20676689,8498119,10589178,8025,6,9393078,9047,6,1,380,7857142
2015,"IL",2,35469200,4575527,10589178,4321,5,9393078,4871,5,1,121,4291773
2015,"IL",3,264693607,11911212,10589178,11248,6,9393078,12681,5,1,47,12440600
2015,"IL",4,0,24984858,10589178,23595,6,9393078,26599,6,0,0,24589515
2015,"IN",1,11511721,4731317,5395321,8769,5,4750871,9959,5,1,379,4362942
2015,"IN",2,11679541,1506661,5395321,2793,8,4750871,3171,8,1,123,1436584
2015,"IN",3,117655414,5294494,5395321,9813,8,4750871,11144,8,1,47,5529804
2015,"IN",4,0,11532472,5395321,21375,8,4750871,24274,8,0,0,11329330
2015,"IA",1,5164181,2122478,2555639,8305,5,2251955,9425,5,3,365,1884926
2015,"IA",2,4401178,567752,2555639,2222,9,2251955,2521,9,3,121,532543
2015,"IA",3,74320220,3344410,2555639,13086,3,2251955,14851,3,3,46,3418730
2015,"IA",4,0,6034640,2555639,23613,5,2251955,26797,5,0,0,5836199
2015,"KS",1,4214100,1731995,2348807,7374,8,2063507,8393,8,2,382,1609786
2015,"KS",2,2598577,335216,2348807,1427,10,2063507,1624,10,7,122,317026
2015,"KS",3,53787283,2420428,2348807,10305,7,2063507,11730,7,2,48,2581790
2015,"KS",4,0,4487639,2348807,19106,10,2063507,21748,10,0,0,4508602
2015,"KY",1,6750739,2774554,3643689,7615,7,3240801,8561,7,2,388,2619287
2015,"KY",2,6176752,796801,3643689,2187,9,3240801,2459,9,2,123,759740
2015,"KY",3,79949409,3597723,3643689,9874,8,3240801,11101,8,2,48,3837572
2015,"KY",4,0,7169078,3643689,19675,9,3240801,22121,9,0,0,7216599
2015,"LA",1,9093544,3737447,3797790,9841,3,3375094,11074,3,1,381,3464640
2015,"LA",2,9777133,1261250,3797790,3321,6,3375094,3737,7,1,122,1192810
2015,"LA",3,107508000,4837860,3797790,12739,3,3375094,14334,3,7,47,5052876
2015,"LA",4,0,9836557,3797790,25901,4,3375094,29145,4,0,0,9710326
2015,"ME",1,2689984,1105584,1134849,9742,3,1022495,10813,4,6,365,981844
2015,"ME",2,3838901,495218,1134849,4364,5,1022495,4843,5,7,122,468346
2015,"ME",3,34596000,1556820,1134849,13718,2,1022495,15226,2,7,48,1660608
2015,"ME",4,0,3157622,1134849,27824,3,1022495,30882,3,0,0,3110798
2015,"MD",1,10793587,4436164,4947740,8966,5,4408735,10062,5,1,384,4144738
2015,"MD",2,15086457,1946153,4947740,3933,6,4408735,4414,6,1,123,1855634
2015,"MD",3,93806928,4221312,4947740,8532,10,4408735,9575,10,1,48,4502733
2015,"MD",4,0,10603629,4947740,21431,8,4408735,24051,8,0,0,10503105
2015,"MA",1,12702625,5220779,5742434,9092,4,5097990,10241,4,1,377,4788890
2015,"MA",2,28776699,3712194,5742434,6464,2,5097990,7282,2,1,123,3539534
2015,"MA",3,122977060,5533968,5742434,9637,9,5097990,10855,9,1,48,5902899
2015,"MA",4,0,14466941,5742434,25193,5,5097990,28378,5,0,0,14231323
2015,"MI",1,17911001,7361421,8256736,8916,5,7310963,10069,5,6,371,6644981
2015,"MI",2,23339148,3010750,8256736,3646,6,7310963,4118,6,3,121,2824037
2015,"MI",3,180825871,8137164,8256736,9855,8,7310963,11130,8,3,48,8679642
2015,"MI",4,0,18509336,8256736,22417,7,7310963,25317,7,0,0,18148660
2015,"MN",1,12413672,5102019,4482838,11381,2,3982972,12810,2,1,381,4729609
2015,"MN",2,15025776,1938325,4482838,4324,5,3982972,4867,5,1,122,1833145
2015,"MN",3,115546543,5199594,4482838,11599,5,3982972,13055,5,1,48,5546234
2015,"MN",4,0,12239939,4482838,27304,3,3982972,30731,3,0,0,12108988
2015,"MS",1,4528247,1861110,2428877,7662,7,2136653,8710,6,6,374,1693564
2015,"MS",2,3169888,408916,2428877,1684,10,2136653,1914,10,6,122,386726
2015,"MS",3,70680000,3180600,2428877,13095,3,2136653,14886,2,7,48,3392640
2015,"MS",4,0,5450625,2428877,22441,7,2136653,25510,7,0,0,5472930
2015,"MO",1,11763558,4834822,4999921,9670,4,4443445,10881,3,2,381,4481916
2015,"MO",2,15062498,1943062,4999921,3886,6,4443445,4373,6,2,122,1837625
2015,"MO",3,130326196,5864679,4999921,11730,5,4443445,13198,5,2,47,6125331
2015,"MO",4,0,12642563,4999921,25286,4,4443445,28452,5,0,0,12444872
2015,"MT",1,1991026,818312,854149,9580,4,764254,10707,4,3,376,748626
2015,"MT",2,3341545,431059,854149,5047,4,764254,5640,4,1,122,407669
2015,"MT",3,30966199,1393479,854149,16314,1,764254,18233,1,2,48,1486378
2015,"MT",4,0,2642850,854149,30941,2,764254,34581,2,0,0,2642673
