State;01.07.2015;01.07.2016;01.07.2017;01.07.2018;01.07.2019;06.04.2020
AL;4852347;4863525;4874486;4887681;4903185;4908621
AZ;6829676;6941072;7044008;7158024;7278717;7378494
AR;2978048;2989918;3001345;3009733;3017804;3038999
CA;38918045;39167117;39358497;39461588;39512223;39937489
CO;5450623;5539215;5611885;5691287;5758736;5845526
CT;3587122;3578141;3573297;3571520;3565287;3563077
DE;941252;948921;956823;965479;973764;982895
DC;675400;685815;694906;701547;705749;720687
FL;20209042;20613477;20963613;21244317;21477737;21992985
GA;10178447;10301890;10410330;10511131;10617423;10736059
ID;1651059;1682380;1717715;1750536;1787065;1826156
IL;12858913;12820527;12778828;12723071;12671821;12659682
IN;6608422;6634304;6658078;6695497;6732219;6745354
IA;3120960;3131371;3141550;3148618;3155070;3179849
KS;2909011;2910844;2908718;2911359;2913314;2910357
KY;4425976;4438182;4452268;4461153;4467673;4499692
LA;4664628;4678135;4670560;4659690;4648794;4645184
ME;1328262;1331317;1334612;1339057;1344212;1345790
MD;5985562;6003323;6023868;6035802;6045680;6083116
MA;6794228;6823608;6859789;6882635;6892503;6976597
MI;9931715;9950571;9973114;9984072;9986857;10045029
MN;5482032;5522744;5566230;5606249;5639632;5700671
MS;2988471;2987938;2988510;2981020;2976149;2989260
MO;6071732;6087135;6106670;6121623;6137428;6169270
MT;1030475;1040859;1052482;1060665;1068778;1086759
NE;1891277;1905616;1915947;1925614;1934408;1952570
NV;2866939;2917563;2969905;3027341;3080156;3139658
NH;1336350;1342307;1348787;1353465;1359711;1371246
NJ;8867949;8870827;8885525;8886025;8882190;8936574
NM;2089291;2091630;2091784;2092741;2096829;2096640
NY;19654666;19633428;19589572;19530351;19453561;19440469
NC;10031646;10154788;10268233;10381615;10488084;10611862
ND;754066;754434;754942;758080;762062;761723
OH;11617527;11634370;11659650;11676341;11689100;11747694
OK;3909500;3926331;3931316;3940235;3956971;3954821
OR;4015792;4089976;4143625;4181886;4217737;4301089
PA;12784826;12782275;12787641;12800922;12801989;12820878
RI;1056065;1056770;1055673;1058287;1059361;1056161
SC;4891938;4957968;5021268;5084156;5148714;5210095
SD;853988;862996;872868;878698;884659;903027
TN;6591170;6646010;6708799;6771631;6829174;6897576
TX;27470056;27914410;28295273;28628666;28995881;29472295
UT;2981835;3041868;3101042;3153550;3205958;3282115
VT;625216;623657;624344;624358;623989;628061
VA;8361808;8410106;8463587;8501286;8535519;8626207
WA;7163657;7294771;7423362;7523869;7614893;7797095
WV;1842050;1831023;1817004;1804291;1792147;1778070
WI;5760940;5772628;5790186;5807406;5822434;5851754
WY;585613;584215;578931;577601;578759;567025
