"State","Date","Population"
"AL",2016-02-08,4859127.09836066
"AL",2016-02-09,4859157.63934426
"AL",2016-02-10,4859188.18032787
"AL",2016-02-11,4859218.72131148
"AL",2016-02-12,4859249.26229508
"AL",2016-02-13,4859279.80327869
"AL",2016-02-14,4859310.3442623
"AL",2016-02-15,4859340.8852459
"AL",2016-02-16,4859371.42622951
"AL",2016-02-17,4859401.96721311
"AL",2016-02-18,4859432.50819672
"AL",2016-02-19,4859463.04918033
"AL",2016-02-20,4859493.59016393
"AL",2016-02-21,4859524.13114754
"AL",2016-02-22,4859554.67213115
"AL",2016-02-23,4859585.21311475
"AL",2016-02-24,4859615.75409836
"AL",2016-02-25,4859646.29508197
"AL",2016-02-26,4859676.83606557
"AL",2016-02-27,4859707.37704918
"AL",2016-02-28,4859737.91803279
"AL",2016-02-29,4859768.45901639
"AL",2016-03-01,4859799
"AL",2016-03-02,4859829.54098361
"AL",2016-03-03,4859860.08196721
"AL",2016-03-04,4859890.62295082
"AL",2016-03-05,4859921.16393443
"AL",2016-03-06,4859951.70491803
"AL",2016-03-07,4859982.24590164
"AL",2016-03-08,4860012.78688525
"AL",2016-03-09,4860043.32786885
"AL",2016-03-10,4860073.86885246
"AL",2016-03-11,4860104.40983607
"AL",2016-03-12,4860134.95081967
"AL",2016-03-13,4860165.49180328
"AL",2016-03-14,4860196.03278689
"AL",2016-03-15,4860226.57377049
"AL",2016-03-16,4860257.1147541
"AL",2016-03-17,4860287.6557377
"AL",2016-03-18,4860318.19672131
"AL",2016-03-19,4860348.73770492
"AL",2016-03-20,4860379.27868852
"AL",2016-03-21,4860409.81967213
"AL",2016-03-22,4860440.36065574
"AL",2016-03-23,4860470.90163934
"AL",2016-03-24,4860501.44262295
"AL",2016-03-25,4860531.98360656
"AL",2016-03-26,4860562.52459016
"AL",2016-03-27,4860593.06557377
"AL",2016-03-28,4860623.60655738
"AL",2016-03-29,4860654.14754098
"AL",2016-03-30,4860684.68852459
"AL",2016-03-31,4860715.2295082
"AL",2016-04-01,4860745.7704918
"AL",2016-04-02,4860776.31147541
"AL",2016-04-03,4860806.85245902
"AL",2016-04-04,4860837.39344262
"AL",2016-04-05,4860867.93442623
"AL",2016-04-06,4860898.47540984
"AL",2016-04-07,4860929.01639344
"AL",2016-04-08,4860959.55737705
"AL",2016-04-09,4860990.09836066
"AL",2016-04-10,4861020.63934426
"AL",2016-04-11,4861051.18032787
"AL",2016-04-12,4861081.72131148
"AL",2016-04-13,4861112.26229508
"AL",2016-04-14,4861142.80327869
"AL",2016-04-15,4861173.3442623
"AL",2016-04-16,4861203.8852459
"AL",2016-04-17,4861234.42622951
"AL",2016-04-18,4861264.96721311
"AL",2016-04-19,4861295.50819672
"AL",2016-04-20,4861326.04918033
"AL",2016-04-21,4861356.59016393
"AL",2016-04-22,4861387.13114754
"AL",2016-04-23,4861417.67213115
"AL",2016-04-24,4861448.21311475
"AL",2016-04-25,4861478.75409836
"AL",2016-04-26,4861509.29508197
"AL",2016-04-27,4861539.83606557
"AL",2016-04-28,4861570.37704918
"AL",2016-04-29,4861600.91803279
"AL",2016-04-30,4861631.45901639
"AL",2016-05-01,4861662
"AL",2016-05-02,4861692.54098361
"AL",2016-05-03,4861723.08196721
"AL",2016-05-04,4861753.62295082
"AL",2016-05-05,4861784.16393443
"AL",2016-05-06,4861814.70491803
"AL",2016-05-07,4861845.24590164
"AL",2016-05-08,4861875.78688525
"AL",2016-05-09,4861906.32786885
"AL",2016-05-10,4861936.86885246
"AL",2016-05-11,4861967.40983607
"AL",2016-05-12,4861997.95081967
"AL",2016-05-13,4862028.49180328
"AL",2016-05-14,4862059.03278689
"AL",2016-05-15,4862089.57377049
"AL",2016-05-16,4862120.1147541
"AL",2016-05-17,4862150.6557377
"AL",2016-05-18,4862181.19672131
"AL",2016-05-19,4862211.73770492
"AL",2016-05-20,4862242.27868852
"AL",2016-05-21,4862272.81967213
"AL",2016-05-22,4862303.36065574
"AL",2016-05-23,4862333.90163934
