State;31.12.2015;31.01.2017;30.11.2017;31.01.2019;31.12.2019
AL;5366843.529;5400419;5468301;5056073;5300199.154
AZ;5588014.478;5630647;5786891;5964434.074;5806312.675
AR;2778660.218;2772214;2808138;2833697;2817145.296
CA;28686646;29424012;30221033;30795141;31022327.88
CO;4820622;5005172;5116341;5259960;5356017.862
CT;2866459.788;2841764;2841842;2826350;2879801.55
DE;957669.002;964316;1003840;970732.8863;1008467.635
DC;334330.9805;322929;337100;346016;351932.6075
FL;15504814.36;16105008;16600317;16959269;17496001.92
GA;8155107;8137621;8239779;8442325;8512550.238
ID;1762687;1854019;1842245;1835903;1879670.042
IL;10393502.97;10595254;10277182;10890760;10588909.73
IN;6012595;6045114;6140530;6170034.032;6190735.937
IA;3596530;3636898;3676290;3750077;3691891.776
KS;2542678.194;2634856;2649736;2717873.281;2684009.916
KY;4148720.651;4151982;4224788;4293205;4368285.035
LA;3886934;3901432;3904962;3906812.009;3885118.819
ME;1194660.672;1104001;1107674;1094387.569;1125588.426
MD;4052090.3;4135158;4178873;4357597.97;4204846.044
MA;4994439.45;5069601;5069559;5065221;5061498.6
MI;8126337.246;8294108;8332895;8518097.073;8386830.525
MN;5223189.036;5281269;5358317;5682653.026;5404277.269
MS;2067806;2068853;2067222;2057476;2067498.314
MO;5332901.319;5624005;5684525;5568736;5498674.974
MT;1585830;1645227;1794732;1863918;1845338.15
NE;1947627;1981296;1951766;1965105;1961308.579
NV;2240497.526;2316056;2398659;2455442.418;2514338.276
NH;1310190.761;1296137;1322682;1319117;1346318.258
NJ;6874099.809;5938585;5940997;6057711;6055389.444
NM;1930706.053;1823445;1823961;1740002;1824217.475
NY;10903620;10638765;11122392;10857455;11482229.1
NC;7876030;7928973;8270643;8070717;8210212.654
ND;870731;890803;894954;1056758;899952.5097
OH;10453358;10557323;10686057;10809247;10913773.31
OK;3517806;2988512;3737405;3744177.873;3699021.852
OR;3417958.983;3607482;3811706;4103451;3942874.801
PA;10504757;10598694;10748822;10689206;10727714.83
RI;864762;875097;876228;872814;872344.1762
SC;4017610.573;4162651;4324423;4404100;4457518.846
SD;1032705;1082289;1246359;1258356;1269414.742
TN;5495647;5612123;5709923;5800489;5770873.794
TX;20877026;21864841;21766166;22130765;22186240.57
UT;2150573;2229193;2317282;2355772.61;2372800.103
VT;612437.2118;655347;615950;621608;619693.7104
VA;7160097;7238905;7301081;7514484;7604646.236
WA;6405483.424;6725467;7047689;7256196;7152412.938
WV;1553192;1613345;1704825;1691237.453;1693719.471
WI;5340155;5466581;5564429;5596635;5683061.122
WY;820106.9771;814989;855230;819257.3939;837024.0712
