"State","Date","RMV"
"AL",2016-02-08,5370141.87501763
"AL",2016-02-09,5370226.44799244
"AL",2016-02-10,5370311.02096725
"AL",2016-02-11,5370395.59394207
"AL",2016-02-12,5370480.16691688
"AL",2016-02-13,5370564.73989169
"AL",2016-02-14,5370649.3128665
"AL",2016-02-15,5370733.88584131
"AL",2016-02-16,5370818.45881612
"AL",2016-02-17,5370903.03179093
"AL",2016-02-18,5370987.60476574
"AL",2016-02-19,5371072.17774055
"AL",2016-02-20,5371156.75071537
"AL",2016-02-21,5371241.32369018
"AL",2016-02-22,5371325.89666499
"AL",2016-02-23,5371410.4696398
"AL",2016-02-24,5371495.04261461
"AL",2016-02-25,5371579.61558942
"AL",2016-02-26,5371664.18856423
"AL",2016-02-27,5371748.76153904
"AL",2016-02-28,5371833.33451385
"AL",2016-02-29,5371917.90748866
"AL",2016-03-01,5372002.48046348
"AL",2016-03-02,5372087.05343829
"AL",2016-03-03,5372171.6264131
"AL",2016-03-04,5372256.19938791
"AL",2016-03-05,5372340.77236272
"AL",2016-03-06,5372425.34533753
"AL",2016-03-07,5372509.91831234
"AL",2016-03-08,5372594.49128715
"AL",2016-03-09,5372679.06426196
"AL",2016-03-10,5372763.63723678
"AL",2016-03-11,5372848.21021159
"AL",2016-03-12,5372932.7831864
"AL",2016-03-13,5373017.35616121
"AL",2016-03-14,5373101.92913602
"AL",2016-03-15,5373186.50211083
"AL",2016-03-16,5373271.07508564
"AL",2016-03-17,5373355.64806045
"AL",2016-03-18,5373440.22103526
"AL",2016-03-19,5373524.79401008
"AL",2016-03-20,5373609.36698489
"AL",2016-03-21,5373693.9399597
"AL",2016-03-22,5373778.51293451
"AL",2016-03-23,5373863.08590932
"AL",2016-03-24,5373947.65888413
"AL",2016-03-25,5374032.23185894
"AL",2016-03-26,5374116.80483375
"AL",2016-03-27,5374201.37780856
"AL",2016-03-28,5374285.95078338
"AL",2016-03-29,5374370.52375819
"AL",2016-03-30,5374455.096733
"AL",2016-03-31,5374539.66970781
"AL",2016-04-01,5374624.24268262
"AL",2016-04-02,5374708.81565743
"AL",2016-04-03,5374793.38863224
"AL",2016-04-04,5374877.96160705
"AL",2016-04-05,5374962.53458186
"AL",2016-04-06,5375047.10755668
"AL",2016-04-07,5375131.68053149
"AL",2016-04-08,5375216.2535063
"AL",2016-04-09,5375300.82648111
"AL",2016-04-10,5375385.39945592
"AL",2016-04-11,5375469.97243073
"AL",2016-04-12,5375554.54540554
"AL",2016-04-13,5375639.11838035
"AL",2016-04-14,5375723.69135516
"AL",2016-04-15,5375808.26432997
"AL",2016-04-16,5375892.83730479
"AL",2016-04-17,5375977.4102796
"AL",2016-04-18,5376061.98325441
"AL",2016-04-19,5376146.55622922
"AL",2016-04-20,5376231.12920403
"AL",2016-04-21,5376315.70217884
"AL",2016-04-22,5376400.27515365
"AL",2016-04-23,5376484.84812846
"AL",2016-04-24,5376569.42110327
"AL",2016-04-25,5376653.99407809
"AL",2016-04-26,5376738.5670529
"AL",2016-04-27,5376823.14002771
"AL",2016-04-28,5376907.71300252
"AL",2016-04-29,5376992.28597733
"AL",2016-04-30,5377076.85895214
"AL",2016-05-01,5377161.43192695
"AL",2016-05-02,5377246.00490176
"AL",2016-05-03,5377330.57787657
"AL",2016-05-04,5377415.15085139
"AL",2016-05-05,5377499.7238262
"AL",2016-05-06,5377584.29680101
"AL",2016-05-07,5377668.86977582
"AL",2016-05-08,5377753.44275063
"AL",2016-05-09,5377838.01572544
"AL",2016-05-10,5377922.58870025
"AL",2016-05-11,5378007.16167506
"AL",2016-05-12,5378091.73464987
"AL",2016-05-13,5378176.30762469
"AL",2016-05-14,5378260.8805995
"AL",2016-05-15,5378345.45357431
"AL",2016-05-16,5378430.02654912
"AL",2016-05-17,5378514.59952393
"AL",2016-05-18,5378599.17249874
"AL",2016-05-19,5378683.74547355
"AL",2016-05-20,5378768.31844836
"AL",2016-05-21,5378852.89142317
"AL",2016-05-22,5378937.46439798
"AL",2016-05-23,5379022.0373728
"AL",2016-05-24,5379106.61034761
"AL",2016-05-25,5379191.18332242
"AL",2016-05-26,5379275.75629723
"AL",2016-05-27,5379360.32927204
"AL",2016-05-28,5379444.90224685
"AL",2016-05-29,5379529.47522166
"AL",2016-05-30,5379614.04819647
"AL",2016-05-31,5379698.62117128
"AL",2016-06-01,5379783.1941461
"AL",2016-06-02,5379867.76712091
"AL",2016-06-03,5379952.34009572
"AL",2016-06-04,5380036.91307053
"AL",2016-06-05,5380121.48604534
"AL",2016-06-06,5380206.05902015
"AL",2016-06-07,5380290.63199496
"AL",2016-06-08,5380375.20496977
"AL",2016-06-09,5380459.77794458
"AL",2016-06-10,5380544.3509194
"AL",2016-06-11,5380628.92389421
"AL",2016-06-12,5380713.49686902
"AL",2016-06-13,5380798.06984383
"AL",2016-06-14,5380882.64281864
"AL",2016-06-15,5380967.21579345
"AL",2016-06-16,5381051.78876826
"AL",2016-06-17,5381136.36174307
"AL",2016-06-18,5381220.93471788
"AL",2016-06-19,5381305.5076927
"AL",2016-06-20,5381390.08066751
"AL",2016-06-21,5381474.65364232
"AL",2016-06-22,5381559.22661713
"AL",2016-06-23,5381643.79959194
"AL",2016-06-24,5381728.37256675
"AL",2016-06-25,5381812.94554156
"AL",2016-06-26,5381897.51851637
"AL",2016-06-27,5381982.09149118
"AL",2016-06-28,5382066.66446599
"AL",2016-06-29,5382151.23744081
"AL",2016-06-30,5382235.81041562
"AL",2016-07-01,5382320.38339043
"AL",2016-07-02,5382404.95636524
"AL",2016-07-03,5382489.52934005
"AL",2016-07-04,5382574.10231486
"AL",2016-07-05,5382658.67528967
"AL",2016-07-06,5382743.24826448
"AL",2016-07-07,5382827.82123929
"AL",2016-07-08,5382912.39421411
"AL",2016-07-09,5382996.96718892
"AL",2016-07-10,5383081.54016373
"AL",2016-07-11,5383166.11313854
"AL",2016-07-12,5383250.68611335
"AL",2016-07-13,5383335.25908816
"AL",2016-07-14,5383419.83206297
"AL",2016-07-15,5383504.40503778
"AL",2016-07-16,5383588.97801259
"AL",2016-07-17,5383673.55098741
"AL",2016-07-18,5383758.12396222
"AL",2016-07-19,5383842.69693703
"AL",2016-07-20,5383927.26991184
"AL",2016-07-21,5384011.84288665
"AL",2016-07-22,5384096.41586146
"AL",2016-07-23,5384180.98883627
"AL",2016-07-24,5384265.56181108
"AL",2016-07-25,5384350.13478589
"AL",2016-07-26,5384434.70776071
"AL",2016-07-27,5384519.28073552
"AL",2016-07-28,5384603.85371033
"AL",2016-07-29,5384688.42668514
"AL",2016-07-30,5384772.99965995
"AL",2016-07-31,5384857.57263476
"AL",2016-08-01,5384942.14560957
"AL",2016-08-02,5385026.71858438
"AL",2016-08-03,5385111.29155919
"AL",2016-08-04,5385195.86453401
"AL",2016-08-05,5385280.43750882
"AL",2016-08-06,5385365.01048363
"AL",2016-08-07,5385449.58345844
"AL",2016-08-08,5385534.15643325
"AL",2016-08-09,5385618.72940806
"AL",2016-08-10,5385703.30238287
"AL",2016-08-11,5385787.87535768
"AL",2016-08-12,5385872.44833249
"AL",2016-08-13,5385957.0213073
"AL",2016-08-14,5386041.59428212
"AL",2016-08-15,5386126.16725693
"AL",2016-08-16,5386210.74023174
"AL",2016-08-17,5386295.31320655
"AL",2016-08-18,5386379.88618136
"AL",2016-08-19,5386464.45915617
"AL",2016-08-20,5386549.03213098
"AL",2016-08-21,5386633.60510579
"AL",2016-08-22,5386718.1780806
"AL",2016-08-23,5386802.75105542
"AL",2016-08-24,5386887.32403023
"AL",2016-08-25,5386971.89700504
"AL",2016-08-26,5387056.46997985
"AL",2016-08-27,5387141.04295466
"AL",2016-08-28,5387225.61592947
"AL",2016-08-29,5387310.18890428
"AL",2016-08-30,5387394.76187909
"AL",2016-08-31,5387479.3348539
"AL",2016-09-01,5387563.90782872
"AL",2016-09-02,5387648.48080353
"AL",2016-09-03,5387733.05377834
"AL",2016-09-04,5387817.62675315
"AL",2016-09-05,5387902.19972796
"AL",2016-09-06,5387986.77270277
"AL",2016-09-07,5388071.34567758
"AL",2016-09-08,5388155.91865239
"AL",2016-09-09,5388240.4916272
"AL",2016-09-10,5388325.06460202
"AL",2016-09-11,5388409.63757683
"AL",2016-09-12,5388494.21055164
"AL",2016-09-13,5388578.78352645
"AL",2016-09-14,5388663.35650126
"AL",2016-09-15,5388747.92947607
"AL",2016-09-16,5388832.50245088
"AL",2016-09-17,5388917.07542569
"AL",2016-09-18,5389001.6484005
"AL",2016-09-19,5389086.22137531
"AL",2016-09-20,5389170.79435013
"AL",2016-09-21,5389255.36732494
"AL",2016-09-22,5389339.94029975
"AL",2016-09-23,5389424.51327456
"AL",2016-09-24,5389509.08624937
"AL",2016-09-25,5389593.65922418
"AL",2016-09-26,5389678.23219899
"AL",2016-09-27,5389762.8051738
"AL",2016-09-28,5389847.37814861
"AL",2016-09-29,5389931.95112343
"AL",2016-09-30,5390016.52409824
"AL",2016-10-01,5390101.09707305
"AL",2016-10-02,5390185.67004786
"AL",2016-10-03,5390270.24302267
"AL",2016-10-04,5390354.81599748
"AL",2016-10-05,5390439.38897229
"AL",2016-10-06,5390523.9619471
"AL",2016-10-07,5390608.53492191
"AL",2016-10-08,5390693.10789673
"AL",2016-10-09,5390777.68087154
"AL",2016-10-10,5390862.25384635
"AL",2016-10-11,5390946.82682116
"AL",2016-10-12,5391031.39979597
"AL",2016-10-13,5391115.97277078
"AL",2016-10-14,5391200.54574559
"AL",2016-10-15,5391285.1187204
"AL",2016-10-16,5391369.69169521
"AL",2016-10-17,5391454.26467003
"AL",2016-10-18,5391538.83764484
"AL",2016-10-19,5391623.41061965
"AL",2016-10-20,5391707.98359446
"AL",2016-10-21,5391792.55656927
"AL",2016-10-22,5391877.12954408
"AL",2016-10-23,5391961.70251889
"AL",2016-10-24,5392046.2754937
"AL",2016-10-25,5392130.84846851
"AL",2016-10-26,5392215.42144332
"AL",2016-10-27,5392299.99441814
"AL",2016-10-28,5392384.56739295
"AL",2016-10-29,5392469.14036776
"AL",2016-10-30,5392553.71334257
"AL",2016-10-31,5392638.28631738
"AL",2016-11-01,5392722.85929219
"AL",2016-11-02,5392807.432267
"AL",2016-11-03,5392892.00524181
"AL",2016-11-04,5392976.57821662
"AL",2016-11-05,5393061.15119144
"AL",2016-11-06,5393145.72416625
"AL",2016-11-07,5393230.29714106
"AL",2016-11-08,5393314.87011587
"AL",2016-11-09,5393399.44309068
"AL",2016-11-10,5393484.01606549
"AL",2016-11-11,5393568.5890403
"AL",2016-11-12,5393653.16201511
"AL",2016-11-13,5393737.73498992
"AL",2016-11-14,5393822.30796474
"AL",2016-11-15,5393906.88093955
"AL",2016-11-16,5393991.45391436
"AL",2016-11-17,5394076.02688917
"AL",2016-11-18,5394160.59986398
"AL",2016-11-19,5394245.17283879
"AL",2016-11-20,5394329.7458136
"AL",2016-11-21,5394414.31878841
"AL",2016-11-22,5394498.89176322
"AL",2016-11-23,5394583.46473804
"AL",2016-11-24,5394668.03771285
"AL",2016-11-25,5394752.61068766
"AL",2016-11-26,5394837.18366247
"AL",2016-11-27,5394921.75663728
"AL",2016-11-28,5395006.32961209
"AL",2016-11-29,5395090.9025869
"AL",2016-11-30,5395175.47556171
"AL",2016-12-01,5395260.04853652
"AL",2016-12-02,5395344.62151134
"AL",2016-12-03,5395429.19448615
"AL",2016-12-04,5395513.76746096
"AL",2016-12-05,5395598.34043577
"AL",2016-12-06,5395682.91341058
"AL",2016-12-07,5395767.48638539
"AL",2016-12-08,5395852.0593602
"AL",2016-12-09,5395936.63233501
"AL",2016-12-10,5396021.20530982
"AL",2016-12-11,5396105.77828463
"AL",2016-12-12,5396190.35125945
"AL",2016-12-13,5396274.92423426
"AL",2016-12-14,5396359.49720907
"AL",2016-12-15,5396444.07018388
"AL",2016-12-16,5396528.64315869
"AL",2016-12-17,5396613.2161335
"AL",2016-12-18,5396697.78910831
"AL",2016-12-19,5396782.36208312
"AL",2016-12-20,5396866.93505793
"AL",2016-12-21,5396951.50803275
"AL",2016-12-22,5397036.08100756
"AL",2016-12-23,5397120.65398237
"AL",2016-12-24,5397205.22695718
"AL",2016-12-25,5397289.79993199
"AL",2016-12-26,5397374.3729068
"AL",2016-12-27,5397458.94588161
"AL",2016-12-28,5397543.51885642
"AL",2016-12-29,5397628.09183123
"AL",2016-12-30,5397712.66480605
"AL",2016-12-31,5397797.23778086
"AL",2017-01-01,5397881.81075567
"AL",2017-01-02,5397966.38373048
"AL",2017-01-03,5398050.95670529
"AL",2017-01-04,5398135.5296801
"AL",2017-01-05,5398220.10265491
"AL",2017-01-06,5398304.67562972
"AL",2017-01-07,5398389.24860453
"AL",2017-01-08,5398473.82157935
"AL",2017-01-09,5398558.39455416
"AL",2017-01-10,5398642.96752897
"AL",2017-01-11,5398727.54050378
"AL",2017-01-12,5398812.11347859
"AL",2017-01-13,5398896.6864534
"AL",2017-01-14,5398981.25942821
"AL",2017-01-15,5399065.83240302
"AL",2017-01-16,5399150.40537783
"AL",2017-01-17,5399234.97835264
"AL",2017-01-18,5399319.55132746
"AL",2017-01-19,5399404.12430227
"AL",2017-01-20,5399488.69727708
"AL",2017-01-21,5399573.27025189
"AL",2017-01-22,5399657.8432267
"AL",2017-01-23,5399742.41620151
"AL",2017-01-24,5399826.98917632
"AL",2017-01-25,5399911.56215113
"AL",2017-01-26,5399996.13512594
"AL",2017-01-27,5400080.70810076
"AL",2017-01-28,5400165.28107557
"AL",2017-01-29,5400249.85405038
"AL",2017-01-30,5400334.42702519
"AL",2017-01-31,5400419
"AL",2017-02-01,5400643.0330033
"AL",2017-02-02,5400867.0660066
"AL",2017-02-03,5401091.0990099
"AL",2017-02-04,5401315.1320132
"AL",2017-02-05,5401539.1650165
"AL",2017-02-06,5401763.1980198
"AL",2017-02-07,5401987.2310231
"AL",2017-02-08,5402211.2640264
"AL",2017-02-09,5402435.2970297
"AL",2017-02-10,5402659.330033
"AL",2017-02-11,5402883.3630363
"AL",2017-02-12,5403107.3960396
"AL",2017-02-13,5403331.4290429
"AL",2017-02-14,5403555.46204621
"AL",2017-02-15,5403779.4950495
"AL",2017-02-16,5404003.5280528
"AL",2017-02-17,5404227.56105611
"AL",2017-02-18,5404451.59405941
"AL",2017-02-19,5404675.62706271
"AL",2017-02-20,5404899.66006601
"AL",2017-02-21,5405123.69306931
"AL",2017-02-22,5405347.72607261
"AL",2017-02-23,5405571.75907591
"AL",2017-02-24,5405795.79207921
"AL",2017-02-25,5406019.82508251
"AL",2017-02-26,5406243.85808581
"AL",2017-02-27,5406467.89108911
"AL",2017-02-28,5406691.92409241
"AL",2017-03-01,5406915.95709571
"AL",2017-03-02,5407139.99009901
"AL",2017-03-03,5407364.02310231
"AL",2017-03-04,5407588.05610561
"AL",2017-03-05,5407812.08910891
"AL",2017-03-06,5408036.12211221
"AL",2017-03-07,5408260.15511551
"AL",2017-03-08,5408484.18811881
"AL",2017-03-09,5408708.22112211
"AL",2017-03-10,5408932.25412541
"AL",2017-03-11,5409156.28712871
"AL",2017-03-12,5409380.32013201
"AL",2017-03-13,5409604.35313531
"AL",2017-03-14,5409828.38613861
"AL",2017-03-15,5410052.41914191
"AL",2017-03-16,5410276.45214521
"AL",2017-03-17,5410500.48514851
"AL",2017-03-18,5410724.51815182
"AL",2017-03-19,5410948.55115512
"AL",2017-03-20,5411172.58415842
"AL",2017-03-21,5411396.61716172
"AL",2017-03-22,5411620.65016502
"AL",2017-03-23,5411844.68316832
"AL",2017-03-24,5412068.71617162
"AL",2017-03-25,5412292.74917492
"AL",2017-03-26,5412516.78217822
"AL",2017-03-27,5412740.81518152
"AL",2017-03-28,5412964.84818482
"AL",2017-03-29,5413188.88118812
"AL",2017-03-30,5413412.91419142
"AL",2017-03-31,5413636.94719472
"AL",2017-04-01,5413860.98019802
"AL",2017-04-02,5414085.01320132
"AL",2017-04-03,5414309.04620462
"AL",2017-04-04,5414533.07920792
"AL",2017-04-05,5414757.11221122
"AL",2017-04-06,5414981.14521452
"AL",2017-04-07,5415205.17821782
"AL",2017-04-08,5415429.21122112
"AL",2017-04-09,5415653.24422442
"AL",2017-04-10,5415877.27722772
"AL",2017-04-11,5416101.31023102
"AL",2017-04-12,5416325.34323432
"AL",2017-04-13,5416549.37623762
"AL",2017-04-14,5416773.40924092
"AL",2017-04-15,5416997.44224422
"AL",2017-04-16,5417221.47524752
