State;15.10.2015;15.12.2016;18.09.2017;23.08.2018;30.08.2019
AL;155300.352;155404.7;153186.651;148637.922;147699.391
AZ;81848.251;82713.054;82546.216;83584.04;83985.925
AR;173388.67;173418.57;173499.064;173378.473;173323.642
CA;235354.178;178765.466;157798.649;149021.651;148943.643
CO;138635.554;138635.606;138609.156;138337.852;138416.884
CT;11565.2;11544.2;11556.14;11558.99;11559.95
DE;6277.07;6266.47;6227.47;5804.28;5866.62
DC;0;0;0;0;0
FL;77507.705;77592.163;77603.11;77777.68;78055.946
GA;159435.42;160604.32;156972.785;157270.104;157439.028
ID;88261.902;92209.206;92116.917;94182.391;101670.112
IL;195544.74;195628.54;195692.15;195701.65;195720.36
IN;136624.067;136094.478;135995.527;136697.944;136633.901
IA;206729.643;207217.764;207577.325;207248.657;207439.557
KS;256218.948;255981.64;258065.954;258076.769;258065.439
KY;133354.565;133492.902;133621.551;133822.434;134004.507
LA;90899.356;90261.759;90251.852;90251.852;90251.852
ME;40580.16;40604.49;39553.2;39606.72;39899.056
MD;27749.81;27747.995;27873.563;27986.363;27963.865
MA;12913.02;12922.25;13185.795;12567.201;12574.144
MI;171080.7;171082.886;170737.869;170578.723;170753.617
MN;236244.118;236244.118;236430.981;237516.07;237581.35
MS;131197.613;132165.598;132482.227;133176.417;133251.254
MO;218200.829;218632.067;220068.716;220215.698;220389.682
MT;144177.105;144182.605;141344.153;141229.948;141209.298
NE;176538.97;176439.248;176231.478;176333.418;176244.826
NV;69367.673;69934.99;65967.498;77546.473;77752.809
NH;22510.374;22512.636;22533.536;22536.381;22562.147
NJ;11719.146;11744.837;11897.177;11273.937;11280.837
NM;122165.767;125639.51;125868.168;136552.658;137035.909
NY;132071.9;131405.35;130196.16;130354.58;130327.44
NC;135235.392;135119.896;135207.375;135603.074;135988.908
ND;171940.896;172073.352;171097.488;171658.728;172336.188
OH;154728.959;154828.528;154926.442;154902.373;154982.857
OK;193845.2;193845.86;193938.9;193261.57;198823.44
OR;118690.05;119010.21;118911.89;130168.77;129840.27
PA;151750.817;148947.42;148944.588;149377.626;148413.699
RI;2805.671;2809.141;2817.329;2772.478;2806.119
SC;118909.842;118531.573;115687.361;115278.544;113490.03
SD;160413.212;160360.42;160276.329;160326.498;160159.233
TN;136033.776;132405.53;132401.444;132136.059;132354.932
TX;425670.29;425158.471;425158.323;426100.775;426523.763
UT;71486.235;72395.75;71910.76;77853.466;76687.774
VT;25967.316;26150.329;26070.63;26069.337;26063.927
VA;103838.777;98289.564;101971.486;102137.816;102245.506
WA;114416.373;114100.257;114079.973;113974.661;114263.581
WV;67574.65;64485.492;65471.177;65693.864;65671.21
WI;186182.14;186362.301;186265.089;186329.697;186337.398
WY;53881.262;53805.932;52815.53;57139.71;55412.452
