"State","Date","Rural_Mileage"
"AL",2016-02-08,155328.699466042
"AL",2016-02-09,155328.943840749
"AL",2016-02-10,155329.188215457
"AL",2016-02-11,155329.432590164
"AL",2016-02-12,155329.676964871
"AL",2016-02-13,155329.921339578
"AL",2016-02-14,155330.165714286
"AL",2016-02-15,155330.410088993
"AL",2016-02-16,155330.6544637
"AL",2016-02-17,155330.898838408
"AL",2016-02-18,155331.143213115
"AL",2016-02-19,155331.387587822
"AL",2016-02-20,155331.631962529
"AL",2016-02-21,155331.876337237
"AL",2016-02-22,155332.120711944
"AL",2016-02-23,155332.365086651
"AL",2016-02-24,155332.609461358
"AL",2016-02-25,155332.853836066
"AL",2016-02-26,155333.098210773
"AL",2016-02-27,155333.34258548
"AL",2016-02-28,155333.586960187
"AL",2016-02-29,155333.831334895
"AL",2016-03-01,155334.075709602
"AL",2016-03-02,155334.320084309
"AL",2016-03-03,155334.564459016
"AL",2016-03-04,155334.808833724
"AL",2016-03-05,155335.053208431
"AL",2016-03-06,155335.297583138
"AL",2016-03-07,155335.541957845
"AL",2016-03-08,155335.786332553
"AL",2016-03-09,155336.03070726
"AL",2016-03-10,155336.275081967
"AL",2016-03-11,155336.519456674
"AL",2016-03-12,155336.763831382
"AL",2016-03-13,155337.008206089
"AL",2016-03-14,155337.252580796
"AL",2016-03-15,155337.496955504
"AL",2016-03-16,155337.741330211
"AL",2016-03-17,155337.985704918
"AL",2016-03-18,155338.230079625
"AL",2016-03-19,155338.474454333
"AL",2016-03-20,155338.71882904
"AL",2016-03-21,155338.963203747
"AL",2016-03-22,155339.207578454
"AL",2016-03-23,155339.451953162
"AL",2016-03-24,155339.696327869
"AL",2016-03-25,155339.940702576
"AL",2016-03-26,155340.185077283
"AL",2016-03-27,155340.429451991
"AL",2016-03-28,155340.673826698
"AL",2016-03-29,155340.918201405
"AL",2016-03-30,155341.162576112
"AL",2016-03-31,155341.40695082
"AL",2016-04-01,155341.651325527
"AL",2016-04-02,155341.895700234
"AL",2016-04-03,155342.140074941
"AL",2016-04-04,155342.384449649
"AL",2016-04-05,155342.628824356
"AL",2016-04-06,155342.873199063
"AL",2016-04-07,155343.11757377
"AL",2016-04-08,155343.361948478
"AL",2016-04-09,155343.606323185
"AL",2016-04-10,155343.850697892
"AL",2016-04-11,155344.0950726
"AL",2016-04-12,155344.339447307
"AL",2016-04-13,155344.583822014
"AL",2016-04-14,155344.828196721
"AL",2016-04-15,155345.072571429
"AL",2016-04-16,155345.316946136
"AL",2016-04-17,155345.561320843
"AL",2016-04-18,155345.80569555
"AL",2016-04-19,155346.050070258
"AL",2016-04-20,155346.294444965
"AL",2016-04-21,155346.538819672
"AL",2016-04-22,155346.783194379
"AL",2016-04-23,155347.027569087
"AL",2016-04-24,155347.271943794
"AL",2016-04-25,155347.516318501
"AL",2016-04-26,155347.760693208
"AL",2016-04-27,155348.005067916
"AL",2016-04-28,155348.249442623
"AL",2016-04-29,155348.49381733
"AL",2016-04-30,155348.738192037
"AL",2016-05-01,155348.982566745
"AL",2016-05-02,155349.226941452
"AL",2016-05-03,155349.471316159
"AL",2016-05-04,155349.715690867
"AL",2016-05-05,155349.960065574
"AL",2016-05-06,155350.204440281
"AL",2016-05-07,155350.448814988
"AL",2016-05-08,155350.693189696
"AL",2016-05-09,155350.937564403
"AL",2016-05-10,155351.18193911
"AL",2016-05-11,155351.426313817
"AL",2016-05-12,155351.670688525
"AL",2016-05-13,155351.915063232
"AL",2016-05-14,155352.159437939
"AL",2016-05-15,155352.403812646
"AL",2016-05-16,155352.648187354
"AL",2016-05-17,155352.892562061
"AL",2016-05-18,155353.136936768
"AL",2016-05-19,155353.381311475
"AL",2016-05-20,155353.625686183
"AL",2016-05-21,155353.87006089
"AL",2016-05-22,155354.114435597
"AL",2016-05-23,155354.358810304
"AL",2016-05-24,155354.603185012
"AL",2016-05-25,155354.847559719
"AL",2016-05-26,155355.091934426
"AL",2016-05-27,155355.336309134
"AL",2016-05-28,155355.580683841
"AL",2016-05-29,155355.825058548
"AL",2016-05-30,155356.069433255
"AL",2016-05-31,155356.313807963
"AL",2016-06-01,155356.55818267
"AL",2016-06-02,155356.802557377
"AL",2016-06-03,155357.046932084
"AL",2016-06-04,155357.291306792
"AL",2016-06-05,155357.535681499
"AL",2016-06-06,155357.780056206
"AL",2016-06-07,155358.024430913
"AL",2016-06-08,155358.268805621
"AL",2016-06-09,155358.513180328
"AL",2016-06-10,155358.757555035
"AL",2016-06-11,155359.001929742
"AL",2016-06-12,155359.24630445
"AL",2016-06-13,155359.490679157
"AL",2016-06-14,155359.735053864
"AL",2016-06-15,155359.979428571
"AL",2016-06-16,155360.223803279
"AL",2016-06-17,155360.468177986
"AL",2016-06-18,155360.712552693
"AL",2016-06-19,155360.9569274
"AL",2016-06-20,155361.201302108
"AL",2016-06-21,155361.445676815
"AL",2016-06-22,155361.690051522
"AL",2016-06-23,155361.93442623
"AL",2016-06-24,155362.178800937
"AL",2016-06-25,155362.423175644
"AL",2016-06-26,155362.667550351
"AL",2016-06-27,155362.911925059
"AL",2016-06-28,155363.156299766
"AL",2016-06-29,155363.400674473
"AL",2016-06-30,155363.64504918
"AL",2016-07-01,155363.889423888
"AL",2016-07-02,155364.133798595
"AL",2016-07-03,155364.378173302
"AL",2016-07-04,155364.622548009
"AL",2016-07-05,155364.866922717
"AL",2016-07-06,155365.111297424
"AL",2016-07-07,155365.355672131
"AL",2016-07-08,155365.600046838
"AL",2016-07-09,155365.844421546
"AL",2016-07-10,155366.088796253
"AL",2016-07-11,155366.33317096
"AL",2016-07-12,155366.577545667
"AL",2016-07-13,155366.821920375
"AL",2016-07-14,155367.066295082
"AL",2016-07-15,155367.310669789
"AL",2016-07-16,155367.555044496
"AL",2016-07-17,155367.799419204
"AL",2016-07-18,155368.043793911
"AL",2016-07-19,155368.288168618
"AL",2016-07-20,155368.532543326
"AL",2016-07-21,155368.776918033
"AL",2016-07-22,155369.02129274
"AL",2016-07-23,155369.265667447
"AL",2016-07-24,155369.510042155
"AL",2016-07-25,155369.754416862
"AL",2016-07-26,155369.998791569
