State;15.10.2015;15.12.2016;18.09.2017;23.08.2018;30.08.2019
AL;57774.697;57722.287;59870.951;62701.329;63446.699
AZ;60941.503;61208.818;61325.172;61375.285;61422.16
AR;36915.43;36963.3;37024.456;37153.987;37320.255
CA;243023.208;253318.911;244279.437;245361.255;247715.945
CO;46030.342;46035.29;46257.848;46574.834;46835.271
CT;34243.99;34270.67;34276.78;34295.71;34328.22
DE;7598.65;7625.06;7679.26;8150.13;8104.98
DC;3428.036;3437.6;3441.278;3453.731;3447.253
FL;194927.159;195584.65;196015.844;196371.322;196866.547
GA;110900.02;111006.384;114424.886;114746.4;114878.788
ID;12055.454;12627.22;13069.308;13193.563;13522.631
IL;110541.59;110691.51;110832.03;110912.33;110855.5
IN;65300.427;65866.344;65859.174;65718.782;66230.253
IA;27343.237;27520.273;27740.892;27799.594;27935.055
KS;30482.167;31094.092;31861.548;31871.408;32181.825
KY;32931.732;33095.343;33193.891;33269.463;33394.448
LA;39124.535;39772.922;39770.359;39767.879;39774.664
ME;6366.65;6359.74;7389.85;7244.62;6856.962
MD;42553.305;42650.871;42776.621;42805.467;42935.616
MA;63960.464;63734.423;64075.803;64989.676;65139.075
MI;85666.423;85976.031;85625.875;85627.917;85793.427
MN;48838.483;48838.483;48893.899;49191.473;49498.203
MS;27293.764;28350.518;28533.523;28732.4;28801.943
MO;54775.568;54373.089;56426.274;56403.382;56728.376
MT;8883.727;8927.617;8972.207;9026.984;9072.202
NE;14392.548;15739.248;17076.218;17378.108;17675.678
NV;21445.482;23048.495;24377.825;24119.574;24493.449
NH;10732.129;10750.006;10773.417;10791.282;10796.508
NJ;73546.548;73572.995;73446.175;73726.211;73765.927
NM;21089.186;18989.632;18998.924;24462.115;24713.296
NY;110375.04;110131.75;109429.57;109408.79;109253.05
NC;90738.068;90933.734;91359.782;91941.378;92375.601
ND;4672.28;4672.28;6183.886;6222.841;6271.185
OH;107437.13;107415.657;107423.482;107474.931;107490.674
OK;40283.94;40411;40912.7;41467.49;42805.432
OR;32282.738;32088.29;32166.91;32406.27;32713.44
PA;98629.202;101480.235;102176.891;101893.683;103019.373
RI;9956.302;9978.184;9978.448;9968.747;9907.055
SC;41449.43;41854.735;44343.363;47415.066;50543.12
SD;7386.692;7422.664;7429.519;7511.686;7537.684
TN;66276.194;70168.209;70489.944;71337.867;71381.304
TX;251904.926;252418.327;252615.759;253815.846;254457.556
UT;25787.115;25179.516;26521.546;25355;25722.188
VT;3251.234;3118.808;3202.501;3206.746;3208.021
VA;58753.06;64647.49;61329.403;61510.591;61740.892
WA;54594.857;52807.404;52969.301;53137.073;53278.782
WV;12359.32;15440.907;14462.248;14420.606;14432.907
WI;52057.525;52246.592;52568.948;52697.56;52825.84
WY;6499.633;6505.135;6260.395;6179.464;6355.062
