"State","Date","Urban_Mileage"
"AL",2016-02-08,57760.4591545667
"AL",2016-02-09,57760.3364145199
"AL",2016-02-10,57760.2136744731
"AL",2016-02-11,57760.0909344262
"AL",2016-02-12,57759.9681943794
"AL",2016-02-13,57759.8454543325
"AL",2016-02-14,57759.7227142857
"AL",2016-02-15,57759.5999742389
"AL",2016-02-16,57759.477234192
"AL",2016-02-17,57759.3544941452
"AL",2016-02-18,57759.2317540984
"AL",2016-02-19,57759.1090140515
"AL",2016-02-20,57758.9862740047
"AL",2016-02-21,57758.8635339578
"AL",2016-02-22,57758.740793911
"AL",2016-02-23,57758.6180538642
"AL",2016-02-24,57758.4953138173
"AL",2016-02-25,57758.3725737705
"AL",2016-02-26,57758.2498337237
"AL",2016-02-27,57758.1270936768
"AL",2016-02-28,57758.00435363
"AL",2016-02-29,57757.8816135831
"AL",2016-03-01,57757.7588735363
"AL",2016-03-02,57757.6361334895
"AL",2016-03-03,57757.5133934426
"AL",2016-03-04,57757.3906533958
"AL",2016-03-05,57757.2679133489
"AL",2016-03-06,57757.1451733021
"AL",2016-03-07,57757.0224332553
"AL",2016-03-08,57756.8996932084
"AL",2016-03-09,57756.7769531616
"AL",2016-03-10,57756.6542131148
"AL",2016-03-11,57756.5314730679
"AL",2016-03-12,57756.4087330211
"AL",2016-03-13,57756.2859929742
"AL",2016-03-14,57756.1632529274
"AL",2016-03-15,57756.0405128806
"AL",2016-03-16,57755.9177728337
"AL",2016-03-17,57755.7950327869
"AL",2016-03-18,57755.67229274
"AL",2016-03-19,57755.5495526932
"AL",2016-03-20,57755.4268126464
"AL",2016-03-21,57755.3040725995
"AL",2016-03-22,57755.1813325527
"AL",2016-03-23,57755.0585925059
"AL",2016-03-24,57754.935852459
"AL",2016-03-25,57754.8131124122
"AL",2016-03-26,57754.6903723653
"AL",2016-03-27,57754.5676323185
"AL",2016-03-28,57754.4448922717
"AL",2016-03-29,57754.3221522248
"AL",2016-03-30,57754.199412178
"AL",2016-03-31,57754.0766721311
"AL",2016-04-01,57753.9539320843
"AL",2016-04-02,57753.8311920375
"AL",2016-04-03,57753.7084519906
"AL",2016-04-04,57753.5857119438
"AL",2016-04-05,57753.462971897
"AL",2016-04-06,57753.3402318501
"AL",2016-04-07,57753.2174918033
"AL",2016-04-08,57753.0947517564
"AL",2016-04-09,57752.9720117096
"AL",2016-04-10,57752.8492716628
"AL",2016-04-11,57752.7265316159
"AL",2016-04-12,57752.6037915691
"AL",2016-04-13,57752.4810515222
"AL",2016-04-14,57752.3583114754
"AL",2016-04-15,57752.2355714286
"AL",2016-04-16,57752.1128313817
"AL",2016-04-17,57751.9900913349
"AL",2016-04-18,57751.8673512881
"AL",2016-04-19,57751.7446112412
"AL",2016-04-20,57751.6218711944
"AL",2016-04-21,57751.4991311475
"AL",2016-04-22,57751.3763911007
"AL",2016-04-23,57751.2536510539
"AL",2016-04-24,57751.130911007
"AL",2016-04-25,57751.0081709602
"AL",2016-04-26,57750.8854309133
"AL",2016-04-27,57750.7626908665
"AL",2016-04-28,57750.6399508197
"AL",2016-04-29,57750.5172107728
"AL",2016-04-30,57750.394470726
"AL",2016-05-01,57750.2717306792
"AL",2016-05-02,57750.1489906323
"AL",2016-05-03,57750.0262505855
"AL",2016-05-04,57749.9035105386
"AL",2016-05-05,57749.7807704918
"AL",2016-05-06,57749.658030445
"AL",2016-05-07,57749.5352903981
"AL",2016-05-08,57749.4125503513
"AL",2016-05-09,57749.2898103044
"AL",2016-05-10,57749.1670702576
"AL",2016-05-11,57749.0443302108
"AL",2016-05-12,57748.9215901639
"AL",2016-05-13,57748.7988501171
"AL",2016-05-14,57748.6761100703
"AL",2016-05-15,57748.5533700234
"AL",2016-05-16,57748.4306299766
"AL",2016-05-17,57748.3078899297
"AL",2016-05-18,57748.1851498829
"AL",2016-05-19,57748.0624098361
"AL",2016-05-20,57747.9396697892
"AL",2016-05-21,57747.8169297424
"AL",2016-05-22,57747.6941896955
"AL",2016-05-23,57747.5714496487
"AL",2016-05-24,57747.4487096019
"AL",2016-05-25,57747.325969555
"AL",2016-05-26,57747.2032295082
"AL",2016-05-27,57747.0804894614
"AL",2016-05-28,57746.9577494145
"AL",2016-05-29,57746.8350093677
"AL",2016-05-30,57746.7122693208
"AL",2016-05-31,57746.589529274
"AL",2016-06-01,57746.4667892272
"AL",2016-06-02,57746.3440491803
"AL",2016-06-03,57746.2213091335
"AL",2016-06-04,57746.0985690867
"AL",2016-06-05,57745.9758290398
"AL",2016-06-06,57745.853088993
"AL",2016-06-07,57745.7303489461
"AL",2016-06-08,57745.6076088993
"AL",2016-06-09,57745.4848688525
"AL",2016-06-10,57745.3621288056
"AL",2016-06-11,57745.2393887588
"AL",2016-06-12,57745.1166487119
"AL",2016-06-13,57744.9939086651
"AL",2016-06-14,57744.8711686183
"AL",2016-06-15,57744.7484285714
"AL",2016-06-16,57744.6256885246
"AL",2016-06-17,57744.5029484777
"AL",2016-06-18,57744.3802084309
"AL",2016-06-19,57744.2574683841
"AL",2016-06-20,57744.1347283372
"AL",2016-06-21,57744.0119882904
"AL",2016-06-22,57743.8892482436
"AL",2016-06-23,57743.7665081967
"AL",2016-06-24,57743.6437681499
"AL",2016-06-25,57743.521028103
"AL",2016-06-26,57743.3982880562
"AL",2016-06-27,57743.2755480094
"AL",2016-06-28,57743.1528079625
"AL",2016-06-29,57743.0300679157
"AL",2016-06-30,57742.9073278689
"AL",2016-07-01,57742.784587822
"AL",2016-07-02,57742.6618477752
"AL",2016-07-03,57742.5391077283
"AL",2016-07-04,57742.4163676815
"AL",2016-07-05,57742.2936276347
"AL",2016-07-06,57742.1708875878
"AL",2016-07-07,57742.048147541
"AL",2016-07-08,57741.9254074941
"AL",2016-07-09,57741.8026674473
"AL",2016-07-10,57741.6799274005
"AL",2016-07-11,57741.5571873536
"AL",2016-07-12,57741.4344473068
"AL",2016-07-13,57741.3117072599
"AL",2016-07-14,57741.1889672131
"AL",2016-07-15,57741.0662271663
"AL",2016-07-16,57740.9434871194
"AL",2016-07-17,57740.8207470726
"AL",2016-07-18,57740.6980070258
"AL",2016-07-19,57740.5752669789
"AL",2016-07-20,57740.4525269321
"AL",2016-07-21,57740.3297868852
"AL",2016-07-22,57740.2070468384
"AL",2016-07-23,57740.0843067916
"AL",2016-07-24,57739.9615667447
"AL",2016-07-25,57739.8388266979
"AL",2016-07-26,57739.7160866511
"AL",2016-07-27,57739.5933466042
"AL",2016-07-28,57739.4706065574
"AL",2016-07-29,57739.3478665105
"AL",2016-07-30,57739.2251264637
"AL",2016-07-31,57739.1023864169
"AL",2016-08-01,57738.97964637
"AL",2016-08-02,57738.8569063232
"AL",2016-08-03,57738.7341662763
"AL",2016-08-04,57738.6114262295
"AL",2016-08-05,57738.4886861827
"AL",2016-08-06,57738.3659461358
"AL",2016-08-07,57738.243206089
"AL",2016-08-08,57738.1204660421
"AL",2016-08-09,57737.9977259953
"AL",2016-08-10,57737.8749859485
"AL",2016-08-11,57737.7522459016
"AL",2016-08-12,57737.6295058548
"AL",2016-08-13,57737.506765808
"AL",2016-08-14,57737.3840257611
"AL",2016-08-15,57737.2612857143
"AL",2016-08-16,57737.1385456674
"AL",2016-08-17,57737.0158056206
"AL",2016-08-18,57736.8930655738
"AL",2016-08-19,57736.7703255269
"AL",2016-08-20,57736.6475854801
"AL",2016-08-21,57736.5248454333
"AL",2016-08-22,57736.4021053864
"AL",2016-08-23,57736.2793653396
"AL",2016-08-24,57736.1566252927
"AL",2016-08-25,57736.0338852459
"AL",2016-08-26,57735.9111451991
"AL",2016-08-27,57735.7884051522
"AL",2016-08-28,57735.6656651054
"AL",2016-08-29,57735.5429250585
"AL",2016-08-30,57735.4201850117
"AL",2016-08-31,57735.2974449649
"AL",2016-09-01,57735.174704918
"AL",2016-09-02,57735.0519648712
"AL",2016-09-03,57734.9292248244
"AL",2016-09-04,57734.8064847775
"AL",2016-09-05,57734.6837447307
"AL",2016-09-06,57734.5610046838
"AL",2016-09-07,57734.438264637
"AL",2016-09-08,57734.3155245902
"AL",2016-09-09,57734.1927845433
"AL",2016-09-10,57734.0700444965
"AL",2016-09-11,57733.9473044496
"AL",2016-09-12,57733.8245644028
"AL",2016-09-13,57733.701824356
"AL",2016-09-14,57733.5790843091
"AL",2016-09-15,57733.4563442623
"AL",2016-09-16,57733.3336042155
"AL",2016-09-17,57733.2108641686
"AL",2016-09-18,57733.0881241218
"AL",2016-09-19,57732.9653840749
"AL",2016-09-20,57732.8426440281
"AL",2016-09-21,57732.7199039813
"AL",2016-09-22,57732.5971639344
"AL",2016-09-23,57732.4744238876
"AL",2016-09-24,57732.3516838407
"AL",2016-09-25,57732.2289437939
"AL",2016-09-26,57732.1062037471
"AL",2016-09-27,57731.9834637002
"AL",2016-09-28,57731.8607236534
"AL",2016-09-29,57731.7379836066
"AL",2016-09-30,57731.6152435597
"AL",2016-10-01,57731.4925035129
"AL",2016-10-02,57731.369763466
"AL",2016-10-03,57731.2470234192
"AL",2016-10-04,57731.1242833724
"AL",2016-10-05,57731.0015433255
"AL",2016-10-06,57730.8788032787
"AL",2016-10-07,57730.7560632318
"AL",2016-10-08,57730.633323185
"AL",2016-10-09,57730.5105831382
"AL",2016-10-10,57730.3878430913
"AL",2016-10-11,57730.2651030445
"AL",2016-10-12,57730.1423629977
"AL",2016-10-13,57730.0196229508
"AL",2016-10-14,57729.896882904
"AL",2016-10-15,57729.7741428571
"AL",2016-10-16,57729.6514028103
"AL",2016-10-17,57729.5286627635
"AL",2016-10-18,57729.4059227166
"AL",2016-10-19,57729.2831826698
"AL",2016-10-20,57729.1604426229
