"State","Year_Month","Acc_PC","Acc_per_RMV","VMT_PC","Rural_Mileage_PC","Urban_Mileage_PC","RMV_PC","Population","Pop_Density","Alc_Cons_PC","Year","Avg_Severity","Month","Rec_Mar_Legal","Sale_Mar_Legal","Med_Mar_Legal","Sale_Mar_Legal_Neighbour","SRC_Bing","SRC_MQ"
"AL",Feb 2016,0,0,804.447871167378,31964.7977835715,11885.9535357618,1.1052757685664,4859447.77868852,95.9511852836119,99849.2888988207,2016,0,2,0,0,0,0,1,0
"AL",Mär 2016,0,0,1235.94284739389,31960.8074285839,11883.3050707655,1.10555283860037,4860257.1147541,95.9671658555454,140673.296493391,2016,0,3,0,0,0,0,1,0
"AL",Apr 2016,0,0,1263.88842422625,31956.2163524454,11880.2578971467,1.10587161966761,4861188.6147541,95.9855585892802,136109.361944299,2016,0,4,0,0,0,0,1,0
"AL",Mai 2016,0,0,1288.12120495831,31951.6270450629,11877.2118974807,1.1061902779214,4862120.1147541,96.0039513230151,140619.395243147,2016,0,5,0,0,0,0,1,0
"AL",Jun 2016,3.70116135636423,3.34460369257638,1270.80699688874,31947.0394862056,11874.1670583399,1.10650881476646,4863051.6147541,96.0223440567499,136057.219429086,2016,0.559259259259259,6,0,0,0,0,1,0
"AL",Jul 2016,4.31738238968411,3.90057437090962,1234.99801264013,31942.5040132441,11871.1420920985,1.10682897266331,4863975.45205479,96.0405854882969,140565.756715372,2016,1.10645161290323,7,0,0,0,0,1,0
"AL",Aug 2016,4.31661842291225,3.8988187182404,1291.08342886769,31937.9487857931,11868.0883448971,1.10715608630266,4864906.38630137,96.0589670510686,140538.858463437,2016,1.05913978494624,8,0,0,0,0,1,0
"AL",Sep 2016,3.08274376395284,2.78359550178181,1157.66661078652,31933.468726224,11865.0849889685,1.10747780209093,4865822.30547945,96.0770521370215,135979.745875937,2016,0.566666666666667,9,0,0,0,0,1,0
"AL",Okt 2016,4.72605681667144,4.26630435166466,1180.05114552823,31928.9903621604,11862.082769678,1.10779939612391,4866738.22465753,96.0951372229743,140485.959691991,2016,0.700460829493087,10,0,0,0,0,1,0
"AL",Nov 2016,2.67078920904996,2.41033331665297,1108.33675831619,31924.5136742265,11859.0816740364,1.10812086979302,4867654.14383562,96.1132223089272,135928.572783475,2016,0.866666666666667,11,0,0,0,0,1,0
"AL",Dez 2016,4.92955985217185,4.44725985642609,1141.19750696811,31912.6034189636,11863.1816740339,1.10844222184425,4868570.0630137,96.13130739488,140433.100727716,2016,1.40591397849462,12,0,0,0,0,1,0
"AL",Jan 2017,6.36611107476411,5.74154262996789,1044.66556604865,31861.266236987,11904.8141676051,1.1087687184206,4869500.99726027,96.1496889576518,140299.076971888,2017,0.700806451612903,1,0,0,0,0,1,0
"AL",Feb 2017,2.66919310848198,2.40577757989643,1052.48312571091,31806.9698157186,11949.6326127079,1.10949448739228,4870386.88630137,96.1671810899668,126698.697078711,2017,0.601190476190476,2,0,0,0,0,1,0
"AL",Mär 2017,5.13210491024227,4.62069103875107,1241.35935234292,31752.6934777923,11994.4344802143,1.11064943550105,4871272.77534247,96.1846732222819,140248.047427351,2017,1.2258064516129,3,0,0,0,0,1,0
"AL",Apr 2017,5.33650182187416,4.80015788531805,1250.97782546917,31696.5977860344,12040.7381153862,1.11184309770417,4872188.69452055,96.2027583082347,135698.402199263,2017,0.915555555555555,4,0,0,0,0,1,0
"AL",Mai 2017,14.5694852943005,13.0884130455484,1292.19471355678,31640.5232962952,12087.0242495611,1.11303630874878,4873104.61369863,96.2208433941876,140195.32708281,2017,1.27332425638877,5,0,0,0,0,1,0
"AL",Jun 2017,13.7463851489411,12.3372992103641,1255.84206613815,31584.4697662951,12133.2930827262,1.11422907379036,4874020.53287671,96.2389284801404,135647.401687929,2017,1.68064814814815,6,0,0,0,0,1,0
